parameter_value,collapse_rate,mean_survival_epochs,final_population_mean,final_population_median,final_population_stddev,final_population_min,final_population_max,final_population_p10,final_population_p90,collapsed_mean,collapsed_median,collapsed_stddev,collapsed_min,collapsed_max,collapsed_p10,collapsed_p90,survival_epochs_mean,survival_epochs_median,survival_epochs_stddev,survival_epochs_min,survival_epochs_max,survival_epochs_p10,survival_epochs_p90,mean_population_mean,mean_population_median,mean_population_stddev,mean_population_min,mean_population_max,mean_population_p10,mean_population_p90,population_volatility_mean,population_volatility_median,population_volatility_stddev,population_volatility_min,population_volatility_max,population_volatility_p10,population_volatility_p90,mean_fitness_mean,mean_fitness_median,mean_fitness_stddev,mean_fitness_min,mean_fitness_max,mean_fitness_p10,mean_fitness_p90,max_fitness_mean,max_fitness_median,max_fitness_stddev,max_fitness_min,max_fitness_max,max_fitness_p10,max_fitness_p90,gini_coefficient_mean,gini_coefficient_median,gini_coefficient_stddev,gini_coefficient_min,gini_coefficient_max,gini_coefficient_p10,gini_coefficient_p90,total_births_mean,total_births_median,total_births_stddev,total_births_min,total_births_max,total_births_p10,total_births_p90,total_deaths_mean,total_deaths_median,total_deaths_stddev,total_deaths_min,total_deaths_max,total_deaths_p10,total_deaths_p90,birth_death_ratio_mean,birth_death_ratio_median,birth_death_ratio_stddev,birth_death_ratio_min,birth_death_ratio_max,birth_death_ratio_p10,birth_death_ratio_p90,total_catastrophe_deaths_mean,total_catastrophe_deaths_median,total_catastrophe_deaths_stddev,total_catastrophe_deaths_min,total_catastrophe_deaths_max,total_catastrophe_deaths_p10,total_catastrophe_deaths_p90,total_entropy_burned_mean,total_entropy_burned_median,total_entropy_burned_stddev,total_entropy_burned_min,total_entropy_burned_max,total_entropy_burned_p10,total_entropy_burned_p90,treasury_ratio_mean,treasury_ratio_median,treasury_ratio_stddev,treasury_ratio_min,treasury_ratio_max,treasury_ratio_p10,treasury_ratio_p90,role_entropy_mean,role_entropy_median,role_entropy_stddev,role_entropy_min,role_entropy_max,role_entropy_p10,role_entropy_p90,total_trait_mutations_mean,total_trait_mutations_median,total_trait_mutations_stddev,total_trait_mutations_min,total_trait_mutations_max,total_trait_mutations_p10,total_trait_mutations_p90,total_pressure_mutations_mean,total_pressure_mutations_median,total_pressure_mutations_stddev,total_pressure_mutations_min,total_pressure_mutations_max,total_pressure_mutations_p10,total_pressure_mutations_p90,total_immune_threats_mean,total_immune_threats_median,total_immune_threats_stddev,total_immune_threats_min,total_immune_threats_max,total_immune_threats_p10,total_immune_threats_p90
1,0,500,48.2,47,1.9084300519426678,45,52,47,51.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,45.74620000000001,45.674,1.5923781486886364,43.002,49.448,43.833,47.816599999999994,6.751726520935042,6.76282840826641,0.6221269006632137,5.483976294624177,7.913275933518295,5.955092158829679,7.393606558040199,0.5663385617606754,0.5653511312435036,0.020176220508226123,0.5322371665991259,0.6174140633761431,0.5462578770867849,0.592762752442709,0.8278281279998199,0.8294979330445134,0.05059041619905978,0.7231934417802459,0.8969050278636888,0.7744997042110431,0.8913193858425802,0.7433753621163499,0.7469792261268544,0.03338648329871473,0.6921143005964177,0.8084399243997658,0.6982889116449471,0.7898361190865153,100.5,100.5,6.629281139086849,86,111,91.9,108.2,72.3,72,7.03450144120504,57,83,64,81.20000000000002,0.9501832849843854,0.9044444444444444,0.1682907303048818,0.7777777777777778,1.4615384615384615,0.8058704453441295,1.111764705882353,11.6,12,0.8825799501580877,10,13,10.9,13,790.2050041456957,789.2775054911074,36.110780999419184,719.8237438779203,858.3517256923369,744.0368157781135,826.3190267932707,0.0011023757685795935,0.001082818598075253,0.0000734008383781896,0.0010398006759291642,0.0013612270695269233,0.0010412844842817026,0.0011525702495069174,2.307669476769072,2.313489303170286,0.012037198501277635,2.2821983459996646,2.320337055513373,2.2883132974340077,2.318109256821149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,500,43.85,44,2.4338619949632134,39,47,40.9,47,0,0,0,0,0,0,0,500,500,0,500,500,500,500,37.363099999999996,37.69799999999999,1.7682087844095669,33.114,40.042,35.556400000000004,38.924400000000006,5.597176799761146,5.6142462238046225,0.7111414636199868,4.429853270707735,7.405815012542512,4.923196207013626,6.093236627482627,0.5667732429644947,0.5665885773853547,0.01989417789665418,0.5283486645968105,0.6016825959672862,0.5455575474543385,0.5891379082233328,0.8309124467085441,0.8342535184835314,0.04801456786653073,0.748467356212918,0.9471700615587063,0.7775069140150992,0.8783978673884415,0.6433306508976548,0.6196079830883171,0.06959573379174976,0.5670599818203913,0.8109103111860197,0.5743790841849628,0.7569033757476216,133.05,135,10.600273084863627,106,145,121.7,143,109.2,110.5,9.881401988744202,83,120,101.4,118.1,1.0368580603168258,1.0518518518518518,0.08393830033891107,0.8717948717948718,1.1428571428571428,0.9091596638655461,1.138423645320197,10,10,0,10,10,10,10,399.10480757604853,398.5323721894148,21.44476339618032,363.45025112664405,438.27965578081563,366.9314568547947,429.0709783352765,0.0029056871093806748,0.002886073181599954,0.00042571730704937815,0.0024217525425928982,0.004092261617033144,0.0024473546884126412,0.003443105719864423,2.299966562755237,2.301967207148929,0.009758837036491793,2.2713531343077435,2.313959285536302,2.292319631164663,2.308412491991246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,500,39.9,40,2.3597502097958545,33,45,37.9,42,0,0,0,0,0,0,0,500,500,0,500,500,500,500,35.3019,35.864000000000004,1.4432592465082559,31.774,37.232,33.5004,36.6458,5.191809002866371,5.154931822334549,0.2959876913438817,4.528242043000793,5.69790979219575,4.9276203051400636,5.542155499251243,0.5796189620412948,0.5871532769697267,0.025799303572437614,0.5191919059360262,0.6100373170446335,0.5474484523000859,0.6072828145809821,0.8346521422023645,0.8365569461485476,0.04213426581968909,0.751497625599648,0.9169332196805404,0.78303283625919,0.8770278541449981,0.7180880887790265,0.7072028182125538,0.04371074471057339,0.6678815906710062,0.8635502162260514,0.6780315266121076,0.7594203779725147,137.95,138.5,9.643514319015274,116,154,126.8,149.10000000000002,118.05,118,10.0024996875781,97,134,105.9,130,1.0035189503638653,1.0270467836257309,0.1047939231851723,0.7714285714285715,1.1666666666666667,0.866046511627907,1.1081932773109244,10,10,0,10,10,10,10,261.31635876841074,263.54208681245433,15.491954777857611,232.16894815745655,290.1457385021647,238.43312544156962,277.66762941537297,0.0035884143970005182,0.0034933723391184944,0.00036505904554195605,0.0029947507860933415,0.004421695953874505,0.003181948781104253,0.004089796713163734,2.295122528507092,2.299487039566259,0.01665786253471141,2.2556845592484933,2.317407858202761,2.2755603969365903,2.3140494894384527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,500,40.75,40,2.29128784747792,37,46,38,43,0,0,0,0,0,0,0,500,500,0,500,500,500,500,34.061,33.774,1.6331610292216812,31.366,37.424,32.3232,36.4126,4.796324443612767,4.841134275392877,0.4258695520593177,3.9311148545927797,5.716758172251117,4.368960449311465,5.353453153716783,0.5641609631199622,0.5605161025254055,0.022081701857549443,0.5244705936568859,0.6058786746617809,0.5341680513984634,0.5956127927603903,0.8359771121530037,0.8345222416128512,0.05064545989248977,0.7413172216545849,0.948454213235866,0.7708265475484932,0.8940200029862654,0.743357094102673,0.7410101525072493,0.03080165324627298,0.7032224969514561,0.797693286168713,0.7050667192228264,0.7904411700725081,123.25,123.5,10.527532824381078,104,141,107.9,137,102.5,103.5,10.595430991457443,85,124,86.8,114.30000000000001,1.0855734711932035,1.0571895424836601,0.1483977035038571,0.8846153846153846,1.5714285714285714,0.9551552795031056,1.2197802197802197,10,10,0,10,10,10,10,203.5648985786151,204.12764039374042,12.507803489892995,183.94878042851641,226.93372400190054,187.61065929707124,219.33911647337638,0.004295739613323434,0.004133152643139315,0.0005449675020062563,0.0036894991678640913,0.005597512240793205,0.003766844118493693,0.005054791728743538,2.302894191040187,2.3023734091241557,0.010962571073320162,2.285152708844441,2.319979540544217,2.2897053545965513,2.315998052602689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,500,40.1,40.5,2.8265657049165736,35,44,35,43,0,0,0,0,0,0,0,500,500,0,500,500,500,500,33.3861,33.388000000000005,1.8938749444625842,29.768,37.314,31.2942,35.3424,4.746720175841332,4.684551348296123,0.6404358485157085,3.7726892265332372,6.424272410164432,4.122283165857501,5.540627716692894,0.5734947527051769,0.5788130256225879,0.02268521665584356,0.5214507489719955,0.6099228696109925,0.5388203850260058,0.598070894220602,0.8380211000144392,0.8313656003396692,0.04583137087275498,0.753852048442166,0.916121006025332,0.7934586326307922,0.9017575465585108,0.7523011159102971,0.7473200550856716,0.040444159264916325,0.68557361134617,0.8422305014280782,0.7065948633794126,0.8064477696624612,113.55,116,8.382155230952804,99,132,103.6,120.4,93.45,93.5,8.35070119967873,81,112,82,104.1,1.014078476289988,1,0.08698896105964188,0.8636363636363636,1.2413793103448276,0.9155984555984557,1.1024813895781638,10,10,0,10,10,10,10,182.48552914360477,180.07006774178217,12.383116570547527,160.01881659995078,214.01336600339863,170.33343702138555,195.74569819997785,0.004752035850598808,0.0046167024532123065,0.0005670640092289396,0.004006065832515467,0.006256294587992136,0.004128432964970001,0.005470528638170357,2.2914065384531312,2.3004386619587276,0.02855494962042903,2.2030465660418077,2.320251394545381,2.251092851698778,2.3106198177527077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,500,39.8,40,2.7834094957538373,34,45,36,42.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,33.164699999999996,32.974000000000004,1.5229885129331466,30.424,35.946,31.52,35.2974,4.462933154547468,4.325379821161949,0.705677918213162,3.6727123492046116,6.401507322498354,3.7603156796358586,5.01301888021149,0.5779889037460237,0.5797755114926166,0.01621316900169822,0.5488560106827111,0.6096953023989257,0.5555797713206511,0.5945351178099592,0.8339942969653119,0.8271447872609481,0.04056143201748544,0.7701817043304809,0.9050540597761092,0.7867106937977262,0.8965085610399622,0.7441950003746313,0.7414734727440029,0.044342635961088755,0.6563555120518703,0.8327611637601474,0.6953088052273265,0.8092327142983378,105.75,106,9.447221813845593,86,124,93.8,116,85.95,88.5,10.122798656082168,64,104,73.9,97.10000000000001,1.0444725202347773,1.0333704115684093,0.08622653523917041,0.84375,1.1818181818181819,0.9627155172413794,1.1613913043478261,10,10,0,10,10,10,10,163.9916898624075,160.67645758884578,16.01106646240339,141.04004180988102,190.98857535610682,144.74570119636653,189.1260007021786,0.005389221924002869,0.005449052703255039,0.0007511274974737188,0.0035709300091893944,0.0065928457805049506,0.0044761192053600725,0.006262187766536661,2.298824449179957,2.3020905192648744,0.017028665567673313,2.2586348166301744,2.3174078582027615,2.270405440967123,2.3141806911074467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,500,38.95,39,2.5644328397276626,34,44,36,42.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,32.560900000000004,33.031,1.8677529956157422,29.094,35.762,29.6508,34.785399999999996,4.376446279966091,4.396112807762051,0.5643188335189283,3.48818520150522,5.552917791575872,3.764961330059091,5.064461814708794,0.570697453883395,0.5683252292982397,0.024350905349345756,0.5292971613764605,0.6267770542792793,0.5392433505015312,0.5997173184922083,0.8230502033373701,0.8255944379644008,0.05508635620531342,0.7126324978703369,0.9174111712323034,0.741000165347896,0.8762946012826364,0.7279648617376734,0.727485427769547,0.03564079145120802,0.6644202939263687,0.8067437440848718,0.6916723140861946,0.7664195961187624,93.45,92,8.43223763771796,82,112,84,103.5,74.5,73,8.92954881868413,61,96,64.6,86.2,1.021203250309861,1.0370879120879122,0.08997174365438362,0.8571428571428571,1.2173913043478262,0.918233082706767,1.15,10,10,0,10,10,10,10,149.71428190000802,149.1197583574727,10.333747224801078,133.7345908752457,173.12758701179646,136.83776153453692,160.2277555535329,0.005918082099409876,0.0058325973549666985,0.000722389075902188,0.004641143145258427,0.007991647860207271,0.005148351815800171,0.006582672801633901,2.302333494241272,2.3070510558454846,0.013704132451442823,2.2580922987090064,2.319760062064176,2.289491476028658,2.3153922661108726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,500,37.4,37.5,2.9806392814823788,33,45,33.9,40.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,31.508499999999998,31.42,1.7231625606791474,28.602,34.968,29.461599999999997,33.4758,4.02074720588964,3.9621836697267474,0.5953282211304802,3.155378899593516,5.327567550017547,3.460440588991084,5.092913188248206,0.5724037035837553,0.575023120549695,0.0184008546680673,0.5331140583208326,0.5979113516719637,0.5470383444486289,0.5914020631301131,0.8416461700767451,0.8393424975777579,0.04658700875160537,0.7774717573898986,0.9521364349581994,0.7808985037979529,0.883061627498318,0.7268706240764344,0.7255868285306869,0.039655449740527746,0.6519943620971526,0.8412613158595491,0.6850403023777164,0.7585728382414831,84.7,84,7.921323653345609,73,109,77,90.60000000000001,67.3,65.5,8.072696021319741,56,90,59.9,75.7,1.001125736365366,1.0384615384615385,0.12251986663292164,0.7083333333333334,1.2352941176470589,0.845409429280397,1.1282894736842106,10,10,0,10,10,10,10,124.33582034803324,123.43521782052693,10.339783644908948,105.86081235893892,142.81981831644902,112.40315635231488,136.42615693211877,0.006735400648190502,0.00679468950341304,0.0010293058330794053,0.004731114833692309,0.008484574472038492,0.005526178550725069,0.008092097536998518,2.3004465754396106,2.3025594999907604,0.011773877556233447,2.278351811711312,2.3174078582027615,2.281568633587743,2.314208379044193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,500,35.6,35,2.0875571218153777,32,40,33.9,38.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,30.339800000000004,29.57,2.245330021458573,27.022,36.29,27.971600000000002,32.8156,3.8086295865701096,3.761950792589062,0.639280082183566,2.5276225984114076,5.006384324040654,2.9836781236812056,4.620791097783958,0.5738473811239558,0.5729375549697631,0.014328337210084575,0.5509046895383971,0.597141709968981,0.5547431371393374,0.5934714900047854,0.8320607428715373,0.8427051904012006,0.052429955492981455,0.6845162105073355,0.915404488298557,0.7848192610839069,0.8794082927359933,0.7109301745440887,0.7147517999906892,0.051581227205629826,0.593885262478218,0.7939539495457936,0.6426276349381951,0.7770093665988487,75.25,74,8.558621384311845,63,95,65.8,88,59.65,59.5,8.305198118616659,47,75,48.900000000000006,72.1,1.0269796406766156,1,0.1384116945785247,0.8275862068965517,1.4166666666666667,0.8744565217391305,1.1571428571428573,10,10,0,10,10,10,10,116.9942669354804,115.63562817610854,12.815504273943688,95.78281222859005,156.61865068500242,104.56189699355326,128.34207553065596,0.007863481929459293,0.007600972400469976,0.001078355582296471,0.006236691691538846,0.010232015174001869,0.006759772369153016,0.009312227328209494,2.3013164933125547,2.3085089869595796,0.01975529673110369,2.2454059606721803,2.319979540544217,2.288118490803986,2.316191495865371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,500,35.25,35,2.4468024246479643,31,41,32,38.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,29.736200000000007,30.198,2.8254975081250833,24.318,33.78,26.2986,32.733000000000004,3.944259503353971,3.853281650829894,0.7376792700596074,3.0077127522421407,5.889712726440908,3.2020309490407435,4.861334547469062,0.5730043799055813,0.5727146022103062,0.02398668320931552,0.5198374739364372,0.6259000230359519,0.5458709526510434,0.5971090474124361,0.8221451513315194,0.821478385635635,0.04811212260324824,0.7135955959459762,0.9098053661929523,0.7778493767657639,0.8691587247694685,0.6756278044585187,0.672728574054438,0.07263133760815714,0.5531852307560372,0.8480097239439183,0.5946524942976688,0.7691219946965673,72.45,71,9.213691185575838,53,88,61.900000000000006,85.20000000000002,57.2,56,8.281876217633933,38,70,49.8,69,0.9613581190151187,0.9583333333333333,0.10039927871604082,0.75,1.1428571428571428,0.8572727272727274,1.0649456521739131,10,10,0,10,10,10,10,105.99907862952492,105.41755219522985,15.28808431155702,81.66482697505093,148.54849692591534,88.24091016507063,119.2035964302455,0.00860567354377301,0.009011425077741058,0.00118064312895624,0.005976201197584338,0.010118620111129807,0.0064752351989217265,0.009617649009274355,2.2984500288988956,2.3043367635678385,0.016763963650046506,2.248456690564668,2.314015448299718,2.279406030038363,2.313345542375445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
