parameter_value,collapse_rate,mean_survival_epochs,final_population_mean,final_population_median,final_population_stddev,final_population_min,final_population_max,final_population_p10,final_population_p90,collapsed_mean,collapsed_median,collapsed_stddev,collapsed_min,collapsed_max,collapsed_p10,collapsed_p90,survival_epochs_mean,survival_epochs_median,survival_epochs_stddev,survival_epochs_min,survival_epochs_max,survival_epochs_p10,survival_epochs_p90,mean_population_mean,mean_population_median,mean_population_stddev,mean_population_min,mean_population_max,mean_population_p10,mean_population_p90,population_volatility_mean,population_volatility_median,population_volatility_stddev,population_volatility_min,population_volatility_max,population_volatility_p10,population_volatility_p90,mean_fitness_mean,mean_fitness_median,mean_fitness_stddev,mean_fitness_min,mean_fitness_max,mean_fitness_p10,mean_fitness_p90,max_fitness_mean,max_fitness_median,max_fitness_stddev,max_fitness_min,max_fitness_max,max_fitness_p10,max_fitness_p90,gini_coefficient_mean,gini_coefficient_median,gini_coefficient_stddev,gini_coefficient_min,gini_coefficient_max,gini_coefficient_p10,gini_coefficient_p90,total_births_mean,total_births_median,total_births_stddev,total_births_min,total_births_max,total_births_p10,total_births_p90,total_deaths_mean,total_deaths_median,total_deaths_stddev,total_deaths_min,total_deaths_max,total_deaths_p10,total_deaths_p90,birth_death_ratio_mean,birth_death_ratio_median,birth_death_ratio_stddev,birth_death_ratio_min,birth_death_ratio_max,birth_death_ratio_p10,birth_death_ratio_p90,total_catastrophe_deaths_mean,total_catastrophe_deaths_median,total_catastrophe_deaths_stddev,total_catastrophe_deaths_min,total_catastrophe_deaths_max,total_catastrophe_deaths_p10,total_catastrophe_deaths_p90,total_entropy_burned_mean,total_entropy_burned_median,total_entropy_burned_stddev,total_entropy_burned_min,total_entropy_burned_max,total_entropy_burned_p10,total_entropy_burned_p90,treasury_ratio_mean,treasury_ratio_median,treasury_ratio_stddev,treasury_ratio_min,treasury_ratio_max,treasury_ratio_p10,treasury_ratio_p90,role_entropy_mean,role_entropy_median,role_entropy_stddev,role_entropy_min,role_entropy_max,role_entropy_p10,role_entropy_p90,total_trait_mutations_mean,total_trait_mutations_median,total_trait_mutations_stddev,total_trait_mutations_min,total_trait_mutations_max,total_trait_mutations_p10,total_trait_mutations_p90,total_pressure_mutations_mean,total_pressure_mutations_median,total_pressure_mutations_stddev,total_pressure_mutations_min,total_pressure_mutations_max,total_pressure_mutations_p10,total_pressure_mutations_p90,total_immune_threats_mean,total_immune_threats_median,total_immune_threats_stddev,total_immune_threats_min,total_immune_threats_max,total_immune_threats_p10,total_immune_threats_p90
1,0,500,28.4,29,2.9091507170885533,18,32,26.900000000000002,31,0,0,0,0,0,0,0,500,500,0,500,500,500,500,24.087199999999996,24.405,1.7483301386420733,17.168,26.072,23.588,25.205,2.543995827056565,2.479475932542294,0.4285299620044833,1.7645350662426664,3.5553289580571845,2.1015921875815646,3.076333742333796,0.5689281259120712,0.5677373574419924,0.026214204657525015,0.5245367069209596,0.6217107304379058,0.5280626656210036,0.5945756981440762,0.8110240307056182,0.8129285115192632,0.06042267807013079,0.6854423279673492,0.8992052775692083,0.7222305113854948,0.8789757911365691,0.5497032839008297,0.5636001499859709,0.05398205764237497,0.45302886197085934,0.6295088151024988,0.47453058090114536,0.6059630044173833,29.2,29,5.146281232726773,15,39,25.599999999999998,35.1,20.8,21.5,3.0539017321246087,15,27,17.900000000000002,25,1.165535714285714,1.1547619047619047,0.15194735606582838,1,1.5,1,1.402857142857143,10,10,0,10,10,10,10,445.54963737375465,452.4849266909464,24.72711336941843,378.3268400922532,480.5494651801854,420.3360928907314,469.09440073516885,0.0012416190607473098,0.0011910597793556286,0.00013972738981335895,0.0010627697611950424,0.0014912454627570063,0.0011044324605085822,0.0014858285193833011,2.2690921738003578,2.282786502326243,0.04126532453198871,2.155023969395552,2.31003908437134,2.241446983757929,2.3023651066922994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,500,23.05,23,1.9594574974238474,20,28,21,25.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,20.700499999999998,20.869,1.2042631072896601,18.708,22.738,19.2402,22.3582,1.717098653816994,1.6681210237431388,0.31959647758395116,1.165879925206711,2.3104796038917894,1.3376591492131638,2.1500370435177163,0.5806725048084014,0.5738255877435664,0.02159883370534116,0.553102085122385,0.6260201059252282,0.5566616721995167,0.6094655817104503,0.7868530202429371,0.789382512140163,0.06183866302270767,0.6795310735857796,0.9368994015140243,0.7179332980742663,0.8484739281112483,0.6104169019172396,0.6145805988214113,0.06511965563875761,0.5117185210979951,0.7123174459299362,0.5296305050373553,0.6956044314302187,37.6,37.5,3.283130726672494,31,43,33.8,41.1,34.55,34,2.684752267312965,30,42,31.9,37.1,1.0880851093351092,1.05,0.15327308929568462,0.8461538461538461,1.4444444444444444,0.9273809523809524,1.2946428571428574,10,10,0,10,10,10,10,288.84274424978105,284.72058180659565,24.629077145995048,246.75136580363855,328.49666744945023,257.9709170982038,323.03212713962154,0.0019227580967198653,0.0019013894454518268,0.000286216253852104,0.0014256319876520404,0.0024794135805805313,0.001636584124066947,0.0023318053814021925,2.268595839400366,2.267117875964918,0.023882865406962894,2.210860643017994,2.313100666415769,2.244020514702466,2.298468100287512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,500,21.75,22,2.173403830521681,17,26,19,24,0,0,0,0,0,0,0,500,500,0,500,500,500,500,19.685399999999998,19.974,1.716774711639916,14.87,22.536,17.355600000000003,21.477,1.7225350492264,1.6330845670347265,0.4534664197938332,0.9311906356917462,2.932081172136955,1.3154522603533618,2.179413433927844,0.5679735533972038,0.5661017655784513,0.01976789491812413,0.5379790839301704,0.6105539217055018,0.5429199919305552,0.5909705678040326,0.7930075059701391,0.7907110487299527,0.07095550230405923,0.6536239116341056,0.9139395702254666,0.7137090089825167,0.8928042507509434,0.7449222615814889,0.7458853790822894,0.05262903399792825,0.6386055560256118,0.8314512326365731,0.6694977116290717,0.8037531441984831,36.35,37,4.368246667413416,25,42,30,41,34.6,36,4.159959513973031,27,41,28,39.2,1.153371767121767,1.1055555555555556,0.16776066856135838,0.9230769230769231,1.5,1,1.35,10,10,0,10,10,10,10,219.32441905329398,216.67304826077932,17.2496509463899,191.26466662886747,261.675036352854,201.003982992208,236.85734868884808,0.0028352182677275715,0.002903725826429804,0.0005739925655989217,0.0018394388962626462,0.00376938417702484,0.0020714217048464468,0.0035562007753926345,2.262305885255833,2.28030976117748,0.0499071395658612,2.1105961389266823,2.3071885761626683,2.1903653538486405,2.3039953791983088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,500,21.25,21,1.9159991209755154,17,25,19.8,23.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,19.59499999999999,19.687,1.2308064108756633,16.33,21.458,18.2664,20.9672,1.6200641241819238,1.7008335041741356,0.24543631082679954,1.165523058544963,2.1020979996184823,1.3102394346361215,1.7987487071730561,0.5811312846205177,0.5790573769873733,0.023824149953920248,0.5329036491671869,0.6157835763177246,0.5498828338672517,0.6093513761008541,0.7946069553602811,0.7917290640401673,0.059554829457872896,0.6807049750496807,0.8908405334465566,0.7244338302162194,0.8661673444415997,0.793098973957568,0.7980522407986772,0.03296768544332098,0.7260731514473425,0.8493308473936884,0.7483971307106202,0.8257952294204064,36.1,36,3.837488213594106,30,45,31.8,42,34.85,35,3.216323497738569,30,41,31.8,39.1,1.1056879231879233,1.0909090909090908,0.17821392369376524,0.8461538461538461,1.5,0.9116666666666666,1.3399999999999999,10,10,0,10,10,10,10,184.03943593756338,187.7399791198531,11.725327704229205,162.45173314114396,204.41936558163218,169.08837162102634,196.79999714742104,0.0033972800724751144,0.00314164107078772,0.0007342945551034905,0.002497216321389595,0.004840949417308323,0.0026443479221854283,0.004694517028342289,2.257732844723763,2.2721454925648708,0.05877382753403502,2.0892446619882707,2.321928094887362,2.1831405216470965,2.313814753263821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,500,20.7,21,1.8945906376340318,17,23,18,23,0,0,0,0,0,0,0,500,500,0,500,500,500,500,19.139,19.698,1.6346064712307589,15.54,21.648,17.179199999999998,20.721,1.5360513678474694,1.5011781796242416,0.34714443427229175,0.9757540673755845,2.223010571274912,1.116275652119264,1.9483574333675084,0.5866556931844801,0.5866743849223879,0.029327149733203012,0.536618458091171,0.653471409445896,0.5563733579977157,0.623417651855609,0.8031496608507676,0.8016624087837372,0.0542985589903426,0.7126034003526005,0.9568936401125443,0.7452714275137539,0.8525420262906089,0.7984317809976786,0.7985473029593996,0.027103250970593813,0.7497646417152816,0.8553800028221554,0.7607277886811123,0.837826412519905,31.1,32,3.226534722545144,24,37,26,34.2,30.4,31,3.1522757026096495,21,34,26.900000000000002,34,0.9820580808080808,1,0.08331341387917965,0.8333333333333334,1.1666666666666667,0.898888888888889,1.1025,10,10,0,10,10,10,10,163.07137887883488,160.58686063943776,11.945289781984906,143.73815945670452,189.28520769945504,149.64211655892652,176.90489434697,0.0035888025152472553,0.0032298256553481507,0.001091325078545773,0.0023544230481932875,0.0073457489760656944,0.0027125226834534147,0.004441033141840031,2.269976857980578,2.2697116730428952,0.035698323259568863,2.1492799881316267,2.3156678763770073,2.242217740280824,2.3017078903879957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,500,20.1,20,2.023545611570261,17,24,17.900000000000002,22.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,19.2958,19.52,1.5577484291184671,16.072,22.034,17.1238,20.8806,1.4277376476750512,1.3570572699503456,0.3557296569784669,0.8903460001594885,2.166656410232139,1.0078990252565534,1.9200251103043633,0.6000718557106854,0.6013001686461127,0.018991402144354675,0.5556966654882832,0.6308011708826281,0.5845312049128039,0.6222479062035065,0.7993990518137053,0.7971038110880457,0.049475899851307584,0.7315297123870182,0.8883569244452378,0.7337291845612708,0.8736590495719727,0.7846488270094597,0.7881609701873391,0.025365285601706207,0.7414530586129097,0.8302666439741249,0.7500429435708275,0.8144261618238142,28.7,28.5,4.341961720115387,23,38,23.9,35.2,28.6,28,3.803045870711639,22,37,25.799999999999997,35.1,0.957857142857143,1,0.08389043253082504,0.8,1.1428571428571428,0.8571428571428571,1.0090909090909093,10,10,0,10,10,10,10,150.1330907249971,146.53402922990512,11.760609144093205,131.20749435148764,170.33470675864982,135.2952318449007,164.20560107910168,0.0039199741821329915,0.0038392802102306424,0.0008220012366482215,0.002874428355857132,0.00634538520934737,0.0030871873731343432,0.0046853567954825235,2.2635995476156423,2.269657929577497,0.04341196570299494,2.165957320949175,2.3136088506956893,2.1993375698213966,2.3046415930931903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,500,19.75,20,1.860248992954834,16,23,17,22,0,0,0,0,0,0,0,500,500,0,500,500,500,500,18.6155,18.829,1.6402800627363996,14.888,21.166,16.732599999999998,20.523799999999998,1.3701468351127786,1.3548867554655257,0.3114729864614169,0.8639699068833375,1.978751121288371,0.99931541991108,1.790262465760732,0.5861234917476674,0.5874319558704856,0.017146178892789143,0.5568698047604136,0.6240580045170653,0.5653538838961438,0.6062444781451464,0.8213449757155875,0.8356451813477586,0.06470117819254792,0.7025515669045991,0.9621835064627795,0.7205380752921601,0.8681527285026885,0.7643155629837914,0.7611392481013497,0.03441128401691998,0.6828059469282743,0.8362681335809427,0.7323703963781701,0.7966368824600774,26.4,27,3.9523477366723374,20,34,21.8,31.1,26.65,26.5,3.1334359818945683,21,32,22,31,1.0115873015873016,1,0.10586025242392887,0.8571428571428571,1.2857142857142858,0.8888888888888888,1.12,10,10,0,10,10,10,10,130.51367589715062,133.40890019776185,15.025330617886057,101.96241742717153,153.58458516880592,111.68759012777325,150.80645511881673,0.004224966164424263,0.00381553668646325,0.0009238561597746547,0.0031385215769077672,0.0065001017442458476,0.003290756935428189,0.005390859582495218,2.2403345398678516,2.245106586611465,0.04907486122147192,2.116299605701696,2.313100666415769,2.1687952820439715,2.2967090317706247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,500,18.9,19,1.7441631985447619,15,22,17,21.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,18.160999999999994,18.194000000000003,1.437119414149818,15.568,21.576,16.6382,19.6382,1.2986972710530145,1.2927739408598207,0.311224742216683,0.9224727638255785,2.3007337959876923,1.0064258743594652,1.5692704611873016,0.5770213599020162,0.5834865600233199,0.031549954907732304,0.5194565370873278,0.6334296696031048,0.5315596324114457,0.6079753591601834,0.765783468315832,0.7562908015960669,0.060712885448020025,0.675917215370285,0.8732438365667241,0.7024461648411697,0.8612951803233824,0.7612483938262475,0.7567915261721502,0.03875605295031626,0.679005214865977,0.8555739413578507,0.7312784841709329,0.8111528136917336,23.45,22.5,3.068944615438926,20,29,20,29,24.55,24,2.584875035155166,19,30,21.900000000000002,28,0.9930201742701742,1,0.11945472713253916,0.8,1.2,0.8721153846153846,1.1452380952380952,10,10,0,10,10,10,10,119.30987208580189,118.98991131315407,8.853943057754446,105.15965774657879,144.47183074486145,109.45962907383591,128.40137580303553,0.004979332720078923,0.004584683636794165,0.00156168242925761,0.0034336783185871483,0.009581161517461015,0.0037144109629189503,0.006221163716160103,2.2449451268832816,2.258674660214403,0.06025197936393793,2.0948567835487384,2.313459750171824,2.1803073475446917,2.2998244361879054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,500,18.2,18,1.7350868323485926,14,23,17,20,0,0,0,0,0,0,0,500,500,0,500,500,500,500,17.998199999999997,17.851999999999997,1.4325466319221791,14.638,20.452,16.5336,19.869,1.3447845203350675,1.3641847259923046,0.3402336563493078,0.894686537285541,2.4163931799274785,0.9578282376914979,1.5920494413062107,0.5850246746524125,0.5908892274614845,0.026948681218941735,0.5427481372755592,0.6366937784982154,0.5488159502543243,0.6116293448838606,0.8167935527844591,0.821392852148646,0.059287598056479984,0.710021036021449,0.9184346930891402,0.7426964671674452,0.8931188179375671,0.7505828952621475,0.7711464886142188,0.04714088996100373,0.6395648955295062,0.8101004868828662,0.6825019645125864,0.794391853488401,22.65,22.5,3.391552974515858,16,31,19.700000000000003,26.200000000000003,24.45,24,2.742933504576134,18,31,22.8,27.200000000000003,0.9627687590187589,1,0.14901748231143308,0.7,1.25,0.7727272727272727,1.1485714285714286,10,10,0,10,10,10,10,104.20968797379835,103.4827174867961,10.879064740804397,76.88088545991116,120.3374868451604,93.24706951596313,118.35260290556909,0.005148564636800459,0.004569049900258266,0.0016108090743762835,0.003349478327091369,0.009439929677518387,0.003815520681440385,0.00732992446398124,2.2340527309110496,2.256908989558354,0.06067292822574072,2.120952031026403,2.313459750171824,2.14611090093014,2.289587521857455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,500,17.05,16.5,2.114486375359025,14,21,14.9,19.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,17.1293,17.093,1.7448789763491515,14.524,20.458,15.1052,19.052,1.5693687545507897,1.6293539521769866,0.48654605693138475,0.8411515915695581,2.4358809494718763,0.9693531497617667,2.2050254441964463,0.5935080398078121,0.5934667683420379,0.02856631157055771,0.5401438774779441,0.6480618024004355,0.5615430379332701,0.6276866179121839,0.8032558837451692,0.8187158724220625,0.06133288619679666,0.6976508006062774,0.8849732924830406,0.7004167712720624,0.8703531690300875,0.7240634604538145,0.7109904049018021,0.06344202754050944,0.573305889784722,0.8310051902146461,0.6691931676173589,0.8153794436798709,19.55,19,4.122786487444217,14,29,14.9,25.200000000000003,22.5,22,3.5018791947662677,17,31,19,26.400000000000006,0.9931700244200246,1,0.12169816552055884,0.7692307692307693,1.1666666666666667,0.8285714285714285,1.1666666666666667,10,10,0,10,10,10,10,93.59398670987639,93.67576683911872,8.767656725249386,78.83384422061559,110.37485549536923,84.04041705536717,104.87902363037583,0.006154511577385416,0.006207584704321747,0.0023678100369883834,0.003053445134708026,0.011703575446668939,0.0033641060132283134,0.009751105552696919,2.197812327814721,2.2416424882454935,0.09285988002923519,1.965596230357602,2.3071885761626683,2.074164076622425,2.2742183491794186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
