parameter_value,collapse_rate,mean_survival_epochs,final_population_mean,final_population_median,final_population_stddev,final_population_min,final_population_max,final_population_p10,final_population_p90,collapsed_mean,collapsed_median,collapsed_stddev,collapsed_min,collapsed_max,collapsed_p10,collapsed_p90,survival_epochs_mean,survival_epochs_median,survival_epochs_stddev,survival_epochs_min,survival_epochs_max,survival_epochs_p10,survival_epochs_p90,gini_coefficient_mean,gini_coefficient_median,gini_coefficient_stddev,gini_coefficient_min,gini_coefficient_max,gini_coefficient_p10,gini_coefficient_p90,mean_fitness_mean,mean_fitness_median,mean_fitness_stddev,mean_fitness_min,mean_fitness_max,mean_fitness_p10,mean_fitness_p90,total_births_mean,total_births_median,total_births_stddev,total_births_min,total_births_max,total_births_p10,total_births_p90,total_deaths_mean,total_deaths_median,total_deaths_stddev,total_deaths_min,total_deaths_max,total_deaths_p10,total_deaths_p90,mean_population_mean,mean_population_median,mean_population_stddev,mean_population_min,mean_population_max,mean_population_p10,mean_population_p90,population_volatility_mean,population_volatility_median,population_volatility_stddev,population_volatility_min,population_volatility_max,population_volatility_p10,population_volatility_p90,total_entropy_burned_mean,total_entropy_burned_median,total_entropy_burned_stddev,total_entropy_burned_min,total_entropy_burned_max,total_entropy_burned_p10,total_entropy_burned_p90,total_pressure_mutations_mean,total_pressure_mutations_median,total_pressure_mutations_stddev,total_pressure_mutations_min,total_pressure_mutations_max,total_pressure_mutations_p10,total_pressure_mutations_p90
0.00001,0,500,52.9,53,2.3597502097958545,49,57,49,56,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.5511872210641814,0.5487917452173798,0.029694089239679367,0.5109669173496307,0.6055317975645235,0.5178051704945115,0.5902223432216431,0.5387027051653237,0.5315035029925048,0.019935677898590642,0.5106211674716922,0.5886094353503962,0.5169806462585089,0.5588423800206868,78.25,79.5,6.20589702579223,64,88,70,86.1,45.35,46,6.47485013035254,31,55,37.8,53,49.11299999999999,48.985,1.8020934609795525,45.116,52.376,47.1256,51.3334,6.745688423852371,6.650421707210955,0.4080181733622357,5.915301851976786,7.651048555590312,6.441690929538009,7.138650444916742,24.17090666375264,24.274527050783703,1.1484973167842685,21.900163180509267,26.239420230127568,22.85334639620024,25.663336478635504,17.6,17.5,2.603641175051019,14,25,14.9,20.1
0.00002,0,500,53.05,53,1.9861361590045286,49,56,50.8,55.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.5644259968044197,0.5583445048466867,0.033524197199833225,0.5134871720044085,0.6408761783408347,0.5253857789437855,0.6134496434209047,0.5400081688449292,0.5403709240241437,0.02246111305977342,0.5001927295770907,0.5955686828797837,0.5147677346986896,0.5634234327554342,78.15,78.5,5.070814322644524,69,88,69.89999999999999,83.3,45.1,45,5.108300778351375,35,56,39.6,51.300000000000004,48.426700000000004,48.599000000000004,1.5302221751311664,45.358,50.944,46.437799999999996,50.374199999999995,6.858447572381908,6.7811451852068325,0.6152646815022013,5.57367347446908,8.569414449074111,6.441816999611221,7.520851061190119,70.20727129843995,69.30250404486763,3.276730001050762,65.78030792166605,77.82038592159886,66.97852862937354,73.86803412333471,21.25,21,2.0487480130686233,18,25,19,24.1
0.000030000000000000004,0,500,53.6,54,2.036508880671192,49,56,50.9,56,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.5321315089345195,0.5294559966317041,0.03161621497902211,0.470914430106285,0.6040068125117567,0.4977065130356362,0.5693835055536409,0.539229016078272,0.5379588075967034,0.01630867197575818,0.512365569035532,0.5701404778612006,0.5210476473776686,0.5614790993613828,76.8,77.5,4.818822743324239,68,84,70,82.1,43.2,44,4.525948577515635,34,49,37.8,48.1,48.2428,48.182,1.810919324542096,44.622,51.06,45.752,50.131600000000006,7.023760860098956,7.134951762488374,0.5071843640105219,5.869166550712288,7.78501021193936,6.375745545850328,7.512020681137779,155.4460315820116,154.28804583508327,6.44894433282659,144.59603375279082,166.76881880834688,148.53990384811127,165.0234372082835,24.85,25,2.0072237962970276,21,29,22.8,27.1
0.00004,0,500,53.65,54,2.007223796297028,50,57,50.9,56,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.5465331754381093,0.5441798938478267,0.030984287933573433,0.4929440868997172,0.5943979519300894,0.5033823240429213,0.5843339944596573,0.53647641926149,0.5379741115410245,0.02192959662819134,0.5014627364380283,0.5905426495434147,0.5101578893912454,0.5657231827834723,77.6,77.5,4.083342284272323,71,86,73,82.2,43.95,44.5,4.148239956516752,38,51,38.900000000000006,48.2,48.01519999999999,48.074,1.5522532891523253,45.522,50.654,45.8278,50.1848,7.059392497171504,6.9588711953823115,0.5616992741753596,6.049733547851514,8.342752303646561,6.532268378138654,7.787488824427373,263.4690621354122,260.524239468488,12.58160992842931,245.35518275074617,286.85776913104604,250.84859081301036,283.488076789476,24.15,24,2.0844032340469205,21,30,22,26.1
0.00005,0,500,53.25,53.5,2.0994986870303363,48,56,51,55.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.55473504607919,0.5585513811419349,0.034660537998028484,0.5085557835001822,0.6110614515220237,0.516128285191902,0.5934194356466723,0.5375026604555238,0.5387957730160928,0.018596905985595037,0.49793875379860625,0.5675035701817788,0.514114091737408,0.5583707937174056,78,80,7.16717664444177,63,88,67.9,86,44.75,46.5,6.4389848824010665,33,53,34.9,52,48.24810000000001,48.278999999999996,1.7042194663463053,44.428,50.856,45.964999999999996,50.1358,6.627804900727268,6.723254624266659,0.5581952100491203,5.157210098493179,7.381453515399261,6.018818503352366,7.160911387355749,364.79472193913443,366.5989679381489,12.117690563508168,340.0990977818406,387.3331520757221,348.5840427128863,377.8347851605582,25.05,25,2.0124611797498106,22,30,22.9,27
0.00006,0,500,53,53,2.051956704170308,49,56,50,56,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.5742092060466751,0.5685086504827968,0.030246263650800152,0.5225712988990705,0.6656739279090803,0.5506436916774792,0.6048034280496503,0.5401510075665178,0.5455910314983266,0.021292302248358038,0.4903767058335965,0.5686926567892564,0.5184664617367307,0.56458315958461,76.05,77,6.500809666171551,63,88,67.6,82.2,43.05,43,5.529585498884495,33,53,34,49.1,48.43719999999999,49.144000000000005,2.1204053634301046,43.182,51.316,45.18920000000001,50.4698,6.681167620020396,6.6888518453716355,0.5224863968927067,5.509300863086008,7.596716132645733,5.9545017771692335,7.189342308012966,470.0963196167064,467.82938351306393,24.265955872139564,400.0726627100559,504.3828303404491,453.8539383486237,501.10729985031094,25.3,25,2.4942038071454684,22,30,22.9,28.1
0.00007000000000000001,0,500,52.05,52,2.0641042405337657,48,57,49.9,54.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.5638523267780989,0.5637229203721684,0.027357336262923106,0.5165318243363073,0.6230815212070772,0.535065246055306,0.591119243002625,0.54106122692214,0.5419857588990297,0.01631773048608199,0.5025690653404152,0.5599993816358947,0.5171187782109652,0.5578934355516717,77.95,77,6.151379819537283,70,92,72,85.30000000000001,45.9,44.5,6.687773604830959,37,60,39,55.1,47.9361,48.118,1.8495749127555596,44.862,50.67,45.1818,50.526,6.623378452830477,6.634490620454731,0.6059300555266477,5.172052203912885,7.607591997472003,6.017801073791402,7.397134695659322,551.5350973443196,556.0876784271771,37.08026587732531,486.6359437778525,625.2280776631126,507.10367974856626,586.9959451307132,25.2,25,1.6091841672756186,23,29,23,27
0.00008,0,500,51.7,52,2.2734161635370636,47,57,49.7,54,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.5729301092426244,0.5754009855050672,0.032449143342116814,0.5144919314069045,0.6499675019190216,0.5306402730592086,0.6016739976805421,0.5490944919538705,0.5471700593218303,0.014883807301462553,0.5238289927690233,0.572830080482544,0.5315806472068856,0.5685729790387354,76.65,78,5.958408477013587,67,88,69.8,83.4,44.95,44.5,6.047835628509896,35,56,37,54.1,47.20900000000001,46.855000000000004,1.7365117484864812,44.31,50.98,45.416,48.735600000000005,6.5648228996901326,6.445878822751908,0.6626262705517636,4.699989361690085,7.426196873231972,6.09856335281288,7.363520791989528,644.2356703675947,652.2385247038235,29.797876825666627,570.9858900037545,705.4743348441638,606.9944426221178,669.5528846304466,24.2,24,1.8238190122579827,21,28,21.900000000000002,26.1
0.00009,0,500,53,53,2.1521103473958814,49,57,50,55.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.56779767017389,0.5613826971007386,0.036427783676873444,0.523469733360943,0.636028825989507,0.5277286197698567,0.6308156686096612,0.5450699464953149,0.5446098447292367,0.01812400690513567,0.5173225711483961,0.5707489377372584,0.5194894013226076,0.5701658566288442,76.75,76,5.910516942393092,70,93,70.9,83.19999999999999,43.75,42.5,6.479725465269587,33,59,36.8,50.60000000000001,48.25390000000001,48.363,1.540202512316926,44.896,50.74,46.36659999999999,50.238400000000006,6.655114105171615,6.622093899157445,0.5035437023273293,5.79514831561714,7.577730267039068,6.056670079739912,7.404438643122161,735.1019502656197,740.0929208389535,28.90916180040932,681.1183370717098,775.4881523464605,689.0905938089463,766.4690709485545,25.5,25,2.2826577307580465,22,29,22,29
0.0001,0,500,52.1,52.5,2.5110283068684707,47,56,48,55,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.578005982686028,0.5778874890814861,0.03574566133290071,0.4886948031649291,0.63905760426377,0.5458121955598645,0.6205545006633953,0.5453851052768011,0.5403329209648899,0.02319853019362871,0.49718062031185967,0.584584441010351,0.5229667390962434,0.5820135468649144,77.25,78,6.323515011863509,67,87,68.8,85,45.15,45.5,5.254321529640349,35,53,37,50.2,47.483999999999995,47.611999999999995,2.1822834009599363,41.074,51.116,45.8418,49.7994,6.513056110848768,6.605325787406663,0.5459914178383667,5.567887929906646,7.2739807533426974,5.613361723156052,7.127361714350208,815.332039321714,808.2090145237219,43.96038784106055,722.7301757852466,896.9203534977476,763.0615781770529,873.94704659043,25.95,26,2.6847522673129647,22,32,23,29.200000000000003
