parameter_value,collapse_rate,mean_survival_epochs,final_population_mean,final_population_median,final_population_stddev,final_population_min,final_population_max,final_population_p10,final_population_p90,collapsed_mean,collapsed_median,collapsed_stddev,collapsed_min,collapsed_max,collapsed_p10,collapsed_p90,survival_epochs_mean,survival_epochs_median,survival_epochs_stddev,survival_epochs_min,survival_epochs_max,survival_epochs_p10,survival_epochs_p90,total_catastrophe_deaths_mean,total_catastrophe_deaths_median,total_catastrophe_deaths_stddev,total_catastrophe_deaths_min,total_catastrophe_deaths_max,total_catastrophe_deaths_p10,total_catastrophe_deaths_p90,mean_population_mean,mean_population_median,mean_population_stddev,mean_population_min,mean_population_max,mean_population_p10,mean_population_p90,population_volatility_mean,population_volatility_median,population_volatility_stddev,population_volatility_min,population_volatility_max,population_volatility_p10,population_volatility_p90,total_immune_threats_mean,total_immune_threats_median,total_immune_threats_stddev,total_immune_threats_min,total_immune_threats_max,total_immune_threats_p10,total_immune_threats_p90,total_pressure_mutations_mean,total_pressure_mutations_median,total_pressure_mutations_stddev,total_pressure_mutations_min,total_pressure_mutations_max,total_pressure_mutations_p10,total_pressure_mutations_p90,total_trait_mutations_mean,total_trait_mutations_median,total_trait_mutations_stddev,total_trait_mutations_min,total_trait_mutations_max,total_trait_mutations_p10,total_trait_mutations_p90,mean_fitness_mean,mean_fitness_median,mean_fitness_stddev,mean_fitness_min,mean_fitness_max,mean_fitness_p10,mean_fitness_p90,birth_death_ratio_mean,birth_death_ratio_median,birth_death_ratio_stddev,birth_death_ratio_min,birth_death_ratio_max,birth_death_ratio_p10,birth_death_ratio_p90,gini_coefficient_mean,gini_coefficient_median,gini_coefficient_stddev,gini_coefficient_min,gini_coefficient_max,gini_coefficient_p10,gini_coefficient_p90,total_births_mean,total_births_median,total_births_stddev,total_births_min,total_births_max,total_births_p10,total_births_p90,total_deaths_mean,total_deaths_median,total_deaths_stddev,total_deaths_min,total_deaths_max,total_deaths_p10,total_deaths_p90,total_entropy_burned_mean,total_entropy_burned_median,total_entropy_burned_stddev,total_entropy_burned_min,total_entropy_burned_max,total_entropy_burned_p10,total_entropy_burned_p90
0,0,500,53.7,54,1.8945906376340316,50,57,50.9,56,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0,0,0,0,0,0,0,49.0908,49.256,2.032074118001761,44.69,51.42,46.771,51.2336,6.808078931247778,7.002857392715958,0.5312920357611639,5.751981919303979,7.655440940925618,6.010349628076457,7.298099068425241,30.15,28.5,4.498830257323622,26,41,26,36.400000000000006,19.35,19,1.9540780569443943,17,23,17,22.1,5644.6,5683.5,275.68773334297896,5048,6059,5359.3,5936.9,0.5331423576343427,0.5301118884720821,0.025034773966885488,0.4977945228243502,0.5913142992972494,0.5033442132884905,0.5616160535751404,1.2246614496614494,1.101010101010101,0.3837897739070827,0.7333333333333333,2,0.8547619047619047,1.8057142857142858,0.5513922041381791,0.5501982215456063,0.04740714165319445,0.4703054361529867,0.6551186590711143,0.4959379161580795,0.605947288716723,75.4,77.5,5.852574782003847,63,85,66.9,82,41.7,43,5.804716775356508,33,52,34.8,49.1,71.94795489266741,72.43999356447314,4.022480541968875,62.447920695214464,79.66837705139635,66.04136480911093,74.97470104031264
0.005,0,500,54,54,2.224268064117415,48,58,51.9,56,0,0,0,0,0,0,0,500,500,0,500,500,500,500,2.9,3,0.3077935056255462,2,3,2.9,3,48.64299999999999,49.417,2.1709734416179587,42.408,51.388,46.62800000000001,50.6002,6.774538418624421,6.853631729184168,0.3875847134319031,5.520552146298413,7.342703589278273,6.431583749049799,7.116046238250363,30.9,31,5.097987218914002,24,39,24.9,38,21.5,21,2.115108557622118,19,27,19,24.1,5581.4,5649.5,260.38259299892167,4842,5960,5320.4,5811.2,0.5443881026902619,0.5471734631155387,0.020527278779944102,0.5093699608381023,0.5994958105433209,0.5234149743717991,0.5620785840777498,1.229417388167388,1.2,0.2978094273558914,0.75,1.875,0.8532467532467531,1.6114285714285717,0.5431886337499052,0.5372026897760405,0.028736632807294136,0.4973921538442462,0.6004334629490599,0.512165844874038,0.5751553189523678,75.25,77.5,7.166258658316398,58,84,66.4,81.20000000000002,41.25,42.5,5.8926805624033545,27,48,33,47,71.04871982099294,70.88067537433665,3.8864254086356786,65.70125774081257,76.50038136908105,66.57963894810149,75.61843889217198
0.01,0,500,52.7,52.5,2.0799797569865155,49,57,50.8,55.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,2.95,3,0.22360679774997888,2,3,3,3,48.4101,49.012,1.7560799016709434,45.108,50.8,45.979600000000005,50.1812,6.917182612662735,6.946730095122465,0.4322242389223625,6.140059934560894,7.8505429111622504,6.301528543737364,7.28730168077728,31.1,30,4.711687595755899,25,42,26.900000000000002,37.300000000000004,23.5,23.5,2.438722702779599,20,28,20.9,27.1,5538.05,5543.5,202.40097643825212,5093,5969,5313.3,5748.7,0.5500833487571773,0.5543723738022085,0.013258411437013643,0.5232957439164739,0.5680210706731609,0.5358586300068223,0.5654561044140671,1.0585786070654493,0.925,0.3216249347072297,0.6666666666666666,1.8333333333333333,0.7763736263736263,1.5125000000000002,0.5684807172668762,0.5711613530640853,0.04127756291041244,0.4952379196762095,0.6483531171846213,0.5042894959407728,0.6153492390113882,77.1,77,6.0602240708965285,65,88,69.6,85.10000000000001,44.4,45,6.628487165655763,31,57,36.7,52.400000000000006,68.47742546867316,68.55331346874291,3.187858035699252,63.681081212649005,76.27749025191336,64.25243509223424,71.4278996456922
0.015,0,500,52.95,53,1.5035046776746235,50,56,51,55,0,0,0,0,0,0,0,500,500,0,500,500,500,500,5.85,6,0.36634754853252327,5,6,5,6,48.46919999999999,48.409000000000006,1.2480916633004162,46.698,51,47.0796,49.86,6.689392127818455,6.685645834350851,0.4697571156073406,5.710908509160339,7.634870267398127,6.162940228796081,7.319357081371649,32.5,33,5.995612430857471,24,42,24.9,41,22.45,22.5,2.0124611797498106,19,26,20,25,5508.7,5473,167.3672608367598,5252,5821,5330.2,5747,0.5433095715210823,0.5390225926877278,0.01904584203616026,0.5229769799629661,0.605194922288419,0.5249954804362119,0.5568516312255464,1.067247580850522,1,0.29260660223178064,0.6666666666666666,1.875,0.7905882352941178,1.3366666666666671,0.5493683873431519,0.550899462456975,0.028638598974253155,0.49743218669078926,0.5971601942466301,0.513022250211724,0.5851432350476609,80.45,80,4.211200603903332,71,87,75.8,85.10000000000001,47.5,47.5,4.298102396468273,41,53,41.9,53,67.15666196383697,66.84693781462859,3.5515842601801024,58.42235591425015,73.79449656563794,63.732791394761556,70.86799536161607
0.02,0,500,51.7,52,2.5975697143777743,46,55,48.900000000000006,55,0,0,0,0,0,0,0,500,500,0,500,500,500,500,5.6,6,0.5026246899500345,5,6,5,6,47.7307,48.278000000000006,1.6866738710753841,43.572,50.368,45.5372,49.278000000000006,6.337624312809,6.30946794218764,0.4726969316060537,5.299613193432144,7.212005546309563,5.76246935260612,6.808384349782353,31.8,29,6.645932669884008,24,49,25.9,41.1,23,23,2.3841582427170787,19,28,20.8,26.1,5389.95,5377.5,189.1887041804391,4967,5724,5190.1,5600.7,0.5496151869956868,0.5484718333264322,0.015332195768828417,0.5240442626315015,0.5830446865133448,0.5319746291160683,0.56515748647966,1.0397866435250336,0.9736842105263157,0.23423003276726667,0.631578947368421,1.4444444444444444,0.8133986928104574,1.3399999999999999,0.5585472165475466,0.5649016456048537,0.035610157527105724,0.47882301464601795,0.6038427501853391,0.5125249682941406,0.5971064425740078,79.35,80,4.923359999452664,69,88,73,85.10000000000001,47.65,47.5,4.356181331105683,39,59,43.900000000000006,53,64.78281865704994,64.75937839356266,3.4596956539007935,59.92246330986504,72.29600562284318,60.67670068975546,69.1376811443032
0.025,0,500,52.35,52,1.9269556026896009,49,57,50.9,55,0,0,0,0,0,0,0,500,500,0,500,500,500,500,9.8,10,0.4103913408340616,9,10,9,10,47.263099999999994,47.702,1.7032731925387232,43.93,49.326,44.942,49.0636,6.595886790982513,6.553673099641575,0.47046812134567145,5.83807639552616,7.395536762128902,5.973803479471391,7.236663148376561,29.25,28.5,4.6665100224336475,24,42,24.9,35.300000000000004,22.45,23,1.79105966869954,19,27,20,24.1,5389.45,5405,216.07003616030565,4886,5725,5157.8,5706.3,0.5602657238987326,0.5581802866340755,0.017922722647835503,0.5328614203014932,0.5894879518677132,0.5417781917922498,0.58436520560125,1.125214507714508,1.0714285714285714,0.23473205213347154,0.8125,1.8,0.9266233766233767,1.382828282828283,0.5543403805751008,0.5586064308958952,0.036756898512107096,0.4798569188451783,0.6128435666896879,0.5026795614986002,0.5979538587602229,83.6,82.5,5.7710712314001755,74,99,77.80000000000001,90.2,51.25,50.5,5.811739480523339,41,67,46.6,56.400000000000006,63.96954407136417,63.626704854633836,2.611337827803536,58.45072692899002,68.33988118080944,60.55248176423611,67.68737945552056
0.030000000000000002,0,500,50.2,50,2.50473236305325,47,54,47,53.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,12.25,12.5,0.910465468000326,10,13,11,13,46.7092,46.918,1.8561334344049163,43.076,49.984,44.177200000000006,49.1384,6.419116688903846,6.460736592231271,0.59719214419705,5.236445741149245,7.483976215889516,5.753227412129495,7.170102901326027,27.35,26.5,3.0826338704016356,23,34,24.9,32,22.5,22,1.8496087779795347,19,26,20.9,25,5271.3,5339,195.8885558571237,4845,5565,4962.6,5457.5,0.5646161227951173,0.5616981892216553,0.017182259543024075,0.5395639889880883,0.6026259775339164,0.5470738718252719,0.5877690532929082,1.010359658831021,0.9484126984126984,0.22855289708810722,0.7058823529411765,1.7777777777777777,0.8333333333333334,1.2326923076923078,0.5657318201435545,0.5604326655588174,0.045654315940158265,0.48551382098467694,0.6687165584989342,0.5144343616323939,0.609938399753591,84.35,83.5,5.101857246966153,73,94,80,92,54.15,53.5,5.412218146301744,46,66,47.8,62,61.68646413333819,61.78710336455336,3.5468177225095827,55.30369256605225,68.40916275134543,56.204189164603974,65.24102290661489
0.035,0,500,50.8,50.5,2.238420495749062,47,55,48.900000000000006,54.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,17.15,17,1.039989878493258,14,18,16,18,45.84779999999999,45.593999999999994,1.3548038350916143,42.786,48.33,44.467400000000005,47.4952,6.661440485758272,6.657567924430008,0.41208973818388667,6.005622365750281,7.442325174298712,6.087491421330156,7.187804079100486,29.45,27.5,6.236353522945752,24,51,24.9,35.2,22.4,22,2.370875920747213,19,29,20,24.300000000000004,5230,5197,161.46728526400113,4998,5601,5029.8,5400.4,0.5681946146557588,0.5685614554992151,0.01662676573841372,0.5428838033998651,0.5937033582337876,0.550027943545656,0.5908373807996873,1.1317849043371488,1.1538461538461537,0.18331683629893156,0.8571428571428571,1.5,0.8941520467836258,1.371717171717172,0.5554850235249325,0.5460294886386877,0.03733153175036827,0.5103523294340722,0.6567533890577983,0.5182730508614299,0.5960018733986314,88.45,89.5,4.454152409180733,80,95,82,94,57.65,58.5,4.95532674582562,49,68,51.9,63.1,60.65692843335047,60.4661485258974,3.2127889481285443,54.56585164458488,67.51960955048988,56.97849241511471,64.47402184290439
0.04,0,500,49.4,50,2.010498759800138,47,54,47,52,0,0,0,0,0,0,0,500,500,0,500,500,500,500,19,19,1.0760551736979407,17,20,17,20,45.959399999999995,46.232,1.2825464965409548,43.294,47.502,43.97,47.3194,6.369521574802393,6.414723601879118,0.5361336323273237,5.43503118666305,7.198722108819037,5.585110809703953,7.009111930026126,27.6,27,2.7796251167151462,25,38,25,29,22.85,23,1.0399898784932577,21,25,22,24,5187.95,5226.5,149.3175616279824,4932,5380,4950.7,5349.5,0.5646954244661749,0.5672564369105678,0.01895218153045883,0.5274158474450837,0.6011361371930983,0.5428029809916073,0.585493114736721,1.0508438865056513,1,0.1769823489500408,0.8125,1.5454545454545454,0.8816176470588235,1.2733333333333334,0.5700048727875231,0.5723545950981406,0.04749976406623682,0.4766091068819678,0.6553024295507129,0.5029431782645333,0.6183989390125012,91.95,91,5.4044328783732825,84,104,86.9,98.4,62.55,61.5,5.951337753197308,56,77,56,71.4,57.32386012373055,57.57614260284565,1.9574175209488671,52.523204633568774,60.26862325309053,54.476726828255046,59.91026340421168
0.045,0,500,49.25,49,1.4095538674570611,46,51,47.9,51,0,0,0,0,0,0,0,500,500,0,500,500,500,500,23.05,23,0.9986833437344549,21,24,21.900000000000002,24,46.0864,45.781,0.900070313042848,44.63,47.474,45.171600000000005,47.1954,6.2482276281803,6.222058068039765,0.33586699504793555,5.693947312717252,6.860036151508244,5.778325740771788,6.625645623243806,29.25,27,5.627704028427486,24,41,25,38.300000000000004,21.75,21.5,1.5852942612451615,19,25,20,24,5185.55,5192.5,100.26201201168655,5039,5443,5070.099999999999,5283.8,0.5813490230843917,0.5834457448985335,0.01942563258609424,0.5420762250107093,0.6168713823175556,0.5510643894961813,0.6044163713077048,1.0952551116753901,1.1143790849673203,0.11087320953933683,0.8421052631578947,1.2727272727272727,0.99375,1.2159340659340658,0.5665288821591421,0.563338131330699,0.03999700711047236,0.5012649580050706,0.6877024098424019,0.53007680682362,0.598969939723194,96.1,95.5,3.8511789035785418,91,105,91.9,101,66.85,66.5,4.016741281974206,60,75,62,72,59.859452161184265,59.62493334447639,3.2662476915129175,55.17848295399136,64.83842752157501,55.94523357922107,64.0578508950123
