parameter_value,collapse_rate,mean_survival_epochs,final_population_mean,final_population_median,final_population_stddev,final_population_min,final_population_max,final_population_p10,final_population_p90,collapsed_mean,collapsed_median,collapsed_stddev,collapsed_min,collapsed_max,collapsed_p10,collapsed_p90,survival_epochs_mean,survival_epochs_median,survival_epochs_stddev,survival_epochs_min,survival_epochs_max,survival_epochs_p10,survival_epochs_p90,total_catastrophe_deaths_mean,total_catastrophe_deaths_median,total_catastrophe_deaths_stddev,total_catastrophe_deaths_min,total_catastrophe_deaths_max,total_catastrophe_deaths_p10,total_catastrophe_deaths_p90,mean_population_mean,mean_population_median,mean_population_stddev,mean_population_min,mean_population_max,mean_population_p10,mean_population_p90,population_volatility_mean,population_volatility_median,population_volatility_stddev,population_volatility_min,population_volatility_max,population_volatility_p10,population_volatility_p90,total_immune_threats_mean,total_immune_threats_median,total_immune_threats_stddev,total_immune_threats_min,total_immune_threats_max,total_immune_threats_p10,total_immune_threats_p90,total_pressure_mutations_mean,total_pressure_mutations_median,total_pressure_mutations_stddev,total_pressure_mutations_min,total_pressure_mutations_max,total_pressure_mutations_p10,total_pressure_mutations_p90,total_trait_mutations_mean,total_trait_mutations_median,total_trait_mutations_stddev,total_trait_mutations_min,total_trait_mutations_max,total_trait_mutations_p10,total_trait_mutations_p90,mean_fitness_mean,mean_fitness_median,mean_fitness_stddev,mean_fitness_min,mean_fitness_max,mean_fitness_p10,mean_fitness_p90,birth_death_ratio_mean,birth_death_ratio_median,birth_death_ratio_stddev,birth_death_ratio_min,birth_death_ratio_max,birth_death_ratio_p10,birth_death_ratio_p90,gini_coefficient_mean,gini_coefficient_median,gini_coefficient_stddev,gini_coefficient_min,gini_coefficient_max,gini_coefficient_p10,gini_coefficient_p90,total_births_mean,total_births_median,total_births_stddev,total_births_min,total_births_max,total_births_p10,total_births_p90,total_deaths_mean,total_deaths_median,total_deaths_stddev,total_deaths_min,total_deaths_max,total_deaths_p10,total_deaths_p90,total_entropy_burned_mean,total_entropy_burned_median,total_entropy_burned_stddev,total_entropy_burned_min,total_entropy_burned_max,total_entropy_burned_p10,total_entropy_burned_p90
0,0,500,54.2,55,1.935812083093974,50,57,51,56,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0,0,0,0,0,0,0,49.401599999999995,49.516,1.382939904315212,46.232,51.416,47.7886,50.7348,6.902172025200954,6.852370847358065,0.39181377764308356,6.087191470620912,7.562597172929398,6.488196113937289,7.3738131270948655,24.25,23,3.1434978841043333,22,35,22,26.300000000000004,19.05,19,1.7910596686995397,17,23,17,21,0,0,0,0,0,0,0,0.5405188489225993,0.5456354086244828,0.01714352523729281,0.501492157397771,0.5654411541647909,0.5141153861904291,0.5559653197465418,1.2140050227550225,1.125,0.4564004008469726,0.7,2.25,0.8141414141414143,2.0200000000000005,0.5296670283499308,0.5255661801375769,0.03698972147325096,0.45940886261351693,0.5968648579198292,0.4865082499850594,0.5738811368954494,76.1,76,6.223047146653614,66,95,67.8,80.2,41.9,42,6.406411262411889,31,60,33.9,47.400000000000006,71.4258020530006,71.23116345937504,2.582316691490482,67.18005652034527,74.79857464586367,68.08965718487781,74.21977764319968
0.005,0,500,52.65,53.5,2.6011131220468307,47,57,50,56,0,0,0,0,0,0,0,500,500,0,500,500,500,500,2.9,3,0.3077935056255462,2,3,2.9,3,47.7391,47.848,2.3256248939518227,42.67,51.792,44.8946,50.0588,6.700531494669681,6.7314499740330085,0.76475265278161,5.140924041454027,7.911984580369198,5.783974858052157,7.714472124894778,28.2,28.5,3.5923896166611353,22,35,24.8,33,19.65,19,2.007223796297028,17,24,17,22,0,0,0,0,0,0,0,0.5405077685519448,0.5477807105847171,0.023820269384763625,0.4907835857464706,0.5706429033000824,0.5054612018605519,0.5672676750735981,1.2047397047397044,1.1464646464646466,0.30996672888248017,0.75,2,0.9207692307692308,1.583333333333334,0.5513417930563693,0.5532976627407379,0.03144466588510561,0.49600214356497635,0.6071100285948079,0.5095730559172338,0.5899098039128746,75.4,77,5.861560776520372,64,84,67,81.10000000000001,42.75,44,5.128609127136457,33,50,35.9,48.2,68.88406496321946,69.09761156226001,3.9290969037467063,61.82910150962381,75.62072987759076,65.11592668525569,74.79545248938602
0.01,0,500,52.65,53,1.5652475842498532,49,55,50,54,0,0,0,0,0,0,0,500,500,0,500,500,500,500,3,3,0,3,3,3,3,49.0311,48.824,1.2695037530261053,45.896,51.208,47.772600000000004,50.5396,6.671421146949884,6.741106662357133,0.3949881810755381,5.892769807145016,7.5916438272616755,6.128092529082085,6.949624966536834,26.8,25,4.455629201240535,22,38,22.9,33,19.85,20,1.598519051464429,17,22,18,22,0,0,0,0,0,0,0,0.5461815860028676,0.5412710386645376,0.019577490094974274,0.5205314906759474,0.5963611966816044,0.5251636455172436,0.57132643028806,1.0036342823842825,1,0.21027334340654122,0.7272727272727273,1.4285714285714286,0.7673076923076922,1.3647727272727272,0.5437815882235235,0.5446077737758412,0.028827400080446285,0.49271394314579897,0.609634565850849,0.5147404535961428,0.5721642775583751,77.85,78,4.793361637668671,69,86,72.69999999999999,84.1,45.2,45,5.011565571124877,35,54,39.900000000000006,51,69.22024396498996,69.35533488909466,2.770860438745496,63.99712006048275,74.22816374118027,65.08416297835376,72.04571838650443
0.015,0,500,52.55,53,2.438183102661747,47,57,49.9,55.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,5.85,6,0.36634754853252327,5,6,5,6,47.7719,48.010999999999996,2.559128591409276,42.724,51.372,44.8014,50.776,6.499004733668466,6.579082089603549,0.5346180847896133,4.767370763848758,7.380894254763434,6.088324531447471,6.879351101859825,25.55,24,4.762518130922802,22,40,22,33,19.4,19,1.7591864148251206,17,24,17.900000000000002,22,0,0,0,0,0,0,0,0.5500126440901101,0.5501470108993576,0.0187406975836556,0.5136234159783074,0.5936582238546925,0.5320027689488556,0.5687655264774525,1.151736825266237,1.126923076923077,0.23135247351463217,0.7142857142857143,1.6,0.9093406593406594,1.45,0.5631098063053074,0.5685187972184162,0.040713578057178845,0.49948724811132145,0.6560668618731823,0.5139508627777225,0.6085101892713644,78.05,79.5,6.516981865217899,62,88,69.5,83.3,45.5,47,5.680066715694178,35,56,36.9,49.60000000000001,65.78229119931618,65.51585845802403,2.9865708797331907,58.91900866283949,72.32557447551986,62.499246283540366,68.31946654082188
0.02,0,500,52.15,52,2.5396850198400585,47,56,48.800000000000004,55.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,5.6,6,0.5026246899500345,5,6,5,6,46.7542,47.517,2.8996335086025145,38.684,50.192,43.1444,49.6192,6.519999884977757,6.722892609633854,0.6665726160860752,4.544903079274616,7.24813106945507,5.673935984037745,7.075875674228597,25.55,24,4.273233707134384,22,36,22,32.1,19.75,20,1.5517392618742702,17,22,17,22,0,0,0,0,0,0,0,0.5480781974034703,0.551386171483544,0.022496998610665613,0.5025019751585768,0.5841525112450704,0.5077780535329488,0.575368612285493,1.1309250544776863,1.126984126984127,0.20894056124764737,0.75,1.6,0.9149797570850203,1.35,0.5408428327154293,0.5386267833977032,0.03970979123675133,0.4717911824891458,0.6469713226023448,0.49414658496418357,0.5775543005578827,78.85,81,9.582192914601103,49,91,66.9,87.1,46.7,48,8.131161631260579,22,58,38.800000000000004,55.1,63.98109908324676,63.83868902056379,3.661299759733558,55.22062533598684,71.33804983445337,60.14655942680979,68.5703717587625
0.025,0,500,52,52,2.0261449005179113,49,56,49,54,0,0,0,0,0,0,0,500,500,0,500,500,500,500,9.7,10,0.47016234598162726,9,10,9,10,47.897499999999994,47.693,1.770312595055044,44.942,50.926,45.7434,50.5394,6.4910939571508965,6.407375310356129,0.4776991339405199,5.574549309137026,7.468187464170932,6.088354283583912,7.053040555663106,28.75,30,5.169495547007108,22,40,22.9,34,20.1,20,2.359750209795855,18,26,18,23.1,0,0,0,0,0,0,0,0.5547391058342936,0.552718746525813,0.011567026369585068,0.5404369803459643,0.5787723750345328,0.5428263289721679,0.5757202443982923,1.030024975024975,1.0357142857142856,0.18446640111351126,0.6,1.3846153846153846,0.8526785714285714,1.2241071428571428,0.5632130259921266,0.551082620007967,0.04997352237379638,0.49360041750183264,0.6812989424145917,0.5105446631403407,0.6374113254281946,81.7,82.5,6.061960773631962,71,95,72.89999999999999,87.19999999999999,49.7,50.5,6.641971806149452,37,63,42.599999999999994,57.1,65.16356896165385,66.14848418281593,3.763786548705446,56.50979918457911,70.58604185279934,61.03902867294293,69.15796913933502
0.030000000000000002,0,500,51.55,51.5,2.2589005243585576,47,55,49,54.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,12.55,13,0.6048053188292996,11,13,12,13,47.71629999999999,48.123000000000005,1.4255271638018139,45.16,49.768,46.0724,49.5454,6.850017002392358,6.914667361000897,0.5166288160918093,5.850675174712748,7.832102910457714,6.206439281827324,7.524651952129414,26.9,25.5,5.230477486505616,22,41,22,34.300000000000004,20.4,21,2.010498759800138,18,24,18,22,0,0,0,0,0,0,0,0.5568092351875713,0.5564347920092363,0.013821932019117883,0.5338788163929449,0.5834531934543139,0.5389106935734457,0.5726973363274176,0.9598804985434244,0.9282051282051282,0.22871329518761324,0.5,1.4,0.7570135746606335,1.2583333333333335,0.5464571368203464,0.5428076518324727,0.03318303973007759,0.4853113418288125,0.6207534627350384,0.5082938886950398,0.5888729142643157,85.85,85.5,5.294237184752969,76,95,80.69999999999999,94.1,54.3,53,5.232489595634285,47,65,49,61.400000000000006,62.708148993403974,62.86157326798991,3.044315778518103,57.45789405394465,68.71836616033724,58.7051201702355,65.98594533556816
0.035,0,500,50.2,50,1.8238190122579827,47,54,47.9,52.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,17.35,18,0.9880869341680842,14,18,16.9,18,46.04859999999999,46.275999999999996,1.5587375593560855,42.53,48.862,44.002,47.6112,6.418155991925938,6.475672875448345,0.5143540285027941,5.25341793502096,7.408447880629244,5.91927043127498,7.127792885164784,24.05,22.5,3.3791154245795716,22,33,22,27.60000000000001,19.3,18,1.6254554017744984,18,22,18,22,0,0,0,0,0,0,0,0.5699277676990852,0.5713571317925734,0.013445293839471092,0.5407989850499643,0.5918880206095876,0.5546189213809177,0.5853100569498857,1.0746105936547112,1.0769230769230769,0.1901368598983239,0.7058823529411765,1.3636363636363635,0.8492063492063492,1.2904761904761908,0.5559785685104323,0.5616510542597319,0.04879075296440355,0.426367987867644,0.6781697001755734,0.5072953016919909,0.5960502697567515,88.2,89,4.763899331651044,79,96,82.60000000000001,93.10000000000001,58,58.5,4.834089475033698,48,66,51,62.2,57.91543642366726,57.163439086908056,3.3474863085118853,52.53085956839917,64.10775421527273,54.271891768126416,63.112212082299116
0.04,0,500,49.8,49.5,2.3530495331087184,47,55,47,52.300000000000004,0,0,0,0,0,0,0,500,500,0,500,500,500,500,19.3,19,0.6569466853317864,18,20,18.9,20,45.7045,45.751999999999995,1.1442375305485266,43.238,47.934,44.26339999999999,47.05200000000001,6.365626203553016,6.382388370957962,0.5604201775540947,5.3102237241005135,7.295172102150854,5.702256055210444,6.981647102491725,24.6,24,3.3934922239021286,22,34,22,27.60000000000001,19.7,20,1.4903196407411894,18,22,18,22,0,0,0,0,0,0,0,0.5816084273530253,0.5816002973375077,0.01666915502287566,0.5382946473501198,0.6162376265273126,0.5681016988180629,0.5984589033166529,1.1218379210658624,1.0666666666666667,0.2354529137334578,0.8235294117647058,1.7,0.888235294117647,1.4753846153846155,0.5709710698165755,0.568217453459659,0.032743156104254136,0.5117951084605149,0.6230552170130148,0.5337500592508844,0.6129484421271117,92.6,92,3.7190830788473144,87,99,88,98,62.8,61,4.549146825736147,57,72,58,68.30000000000001,57.14374905361319,57.13210125034412,2.7233060515553777,50.431359203893116,61.20522859365515,53.977009179286206,60.28091965505769
0.045,0,500,49.25,49.5,1.6181535936466533,46,52,47,51,0,0,0,0,0,0,0,500,500,0,500,500,500,500,22.8,23,0.8335087534664906,21,24,22,24,45.40649999999999,45.422,1.3405390706726903,42.076,48.06,44.2786,46.800599999999996,6.357975616893703,6.211620860093926,0.49269511762521195,5.673940429719006,7.512346104912891,5.92519279476506,6.967566953143129,24.45,23,3.7623480910057663,22,35,22,28.60000000000001,19.7,20,1.9761738683361691,18,26,18,22,0,0,0,0,0,0,0,0.5760040391140164,0.5793918114401007,0.02158254215217516,0.5286858843729849,0.6056359298801908,0.546748502552695,0.5996559227053917,1.0995503671165436,1.0645833333333332,0.16949012192004656,0.8823529411764706,1.5,0.907070707070707,1.2666666666666668,0.5587215159590048,0.5547083311183583,0.027070892780278133,0.5082525757771832,0.6115259850648233,0.53149806501879,0.5956863954069546,94.05,93.5,4.673272267288793,85,104,88.89999999999999,99.19999999999999,64.8,65,5.62513157740847,54,78,57.900000000000006,70.1,58.0567651258517,57.52313742939498,4.26140884446658,52.88655641028172,71.07668040620932,54.03049382469247,62.33075966042463
