parameter_value,collapse_rate,mean_survival_epochs,final_population_mean,final_population_median,final_population_stddev,final_population_min,final_population_max,final_population_p10,final_population_p90,collapsed_mean,collapsed_median,collapsed_stddev,collapsed_min,collapsed_max,collapsed_p10,collapsed_p90,survival_epochs_mean,survival_epochs_median,survival_epochs_stddev,survival_epochs_min,survival_epochs_max,survival_epochs_p10,survival_epochs_p90,total_catastrophe_deaths_mean,total_catastrophe_deaths_median,total_catastrophe_deaths_stddev,total_catastrophe_deaths_min,total_catastrophe_deaths_max,total_catastrophe_deaths_p10,total_catastrophe_deaths_p90,mean_population_mean,mean_population_median,mean_population_stddev,mean_population_min,mean_population_max,mean_population_p10,mean_population_p90,population_volatility_mean,population_volatility_median,population_volatility_stddev,population_volatility_min,population_volatility_max,population_volatility_p10,population_volatility_p90,total_immune_threats_mean,total_immune_threats_median,total_immune_threats_stddev,total_immune_threats_min,total_immune_threats_max,total_immune_threats_p10,total_immune_threats_p90,total_pressure_mutations_mean,total_pressure_mutations_median,total_pressure_mutations_stddev,total_pressure_mutations_min,total_pressure_mutations_max,total_pressure_mutations_p10,total_pressure_mutations_p90,total_trait_mutations_mean,total_trait_mutations_median,total_trait_mutations_stddev,total_trait_mutations_min,total_trait_mutations_max,total_trait_mutations_p10,total_trait_mutations_p90,mean_fitness_mean,mean_fitness_median,mean_fitness_stddev,mean_fitness_min,mean_fitness_max,mean_fitness_p10,mean_fitness_p90,birth_death_ratio_mean,birth_death_ratio_median,birth_death_ratio_stddev,birth_death_ratio_min,birth_death_ratio_max,birth_death_ratio_p10,birth_death_ratio_p90,gini_coefficient_mean,gini_coefficient_median,gini_coefficient_stddev,gini_coefficient_min,gini_coefficient_max,gini_coefficient_p10,gini_coefficient_p90,total_births_mean,total_births_median,total_births_stddev,total_births_min,total_births_max,total_births_p10,total_births_p90,total_deaths_mean,total_deaths_median,total_deaths_stddev,total_deaths_min,total_deaths_max,total_deaths_p10,total_deaths_p90,total_entropy_burned_mean,total_entropy_burned_median,total_entropy_burned_stddev,total_entropy_burned_min,total_entropy_burned_max,total_entropy_burned_p10,total_entropy_burned_p90
0,0,500,54.15,54,1.5312533566021216,52,56,52,56,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0,0,0,0,0,0,0,49.4042,49.791,1.7852207175938535,45.642,51.612,46.7434,51.2706,6.82395113247171,6.914699262588423,0.3762011522942169,6.291535901510853,7.710216339377237,6.345840477702177,7.165083546113965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5637.95,5626,174.46986619621828,5355,5939,5371.8,5846.599999999999,0.5338937051546012,0.530697144048322,0.018743056257186884,0.510871057509503,0.5754058086021729,0.5141731378826513,0.5547591670982976,1.1057631257631257,1.0416666666666665,0.28489567547628214,0.75,1.75,0.7769230769230769,1.4457142857142862,0.5542240061214054,0.5543375899594754,0.022029713859970924,0.5159159058556386,0.5992462768329008,0.5247756197895226,0.5822557269807517,75.05,76,6.59724823017342,64,87,67.8,84.2,40.9,41,7.151738838985427,28,54,32,48.60000000000001,221.65989503182465,221.68902873676905,14.42489317711756,197.24889145772758,247.3526271477831,205.43571152182903,238.6762601040747
0.005,0,500,52.85,53,2.4978938496682606,48,57,49,56.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,2.85,3,0.36634754853252327,2,3,2,3,48.346799999999995,48.882999999999996,2.1450373963124623,42.548,52.24,45.626599999999996,50.1904,6.576714896662679,6.690569303241038,0.5831175452641754,5.141565520344957,7.450067113791657,5.685360644192896,7.359899633031586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5507.2,5545,288.4646471087557,4666,5942,5257,5770.7,0.5338387741992697,0.5310063518815062,0.021080214765868195,0.4829123904350406,0.5799994622003632,0.5151779605635199,0.5549809010650526,1.148472915972916,1.087121212121212,0.22813649074026093,0.8461538461538461,1.6666666666666667,0.9081818181818181,1.435714285714286,0.5581932275523934,0.5509430115904052,0.041832092969938714,0.49321254074188475,0.6722142916500494,0.5115079615848179,0.6002836196527942,77.35,77.5,7.080551569356429,60,89,68,86.1,44.5,44,6.6372156495738,32,55,36.7,53.1,215.82267246917226,217.07272084142397,10.649250457035478,192.12852382048806,234.61213239832767,204.38682826771424,227.85050562240485
0.01,0,500,51.8,51,3.001753873286328,47,56,47.9,56,0,0,0,0,0,0,0,500,500,0,500,500,500,500,2.85,3,0.36634754853252327,2,3,2,3,47.227999999999994,47.561,1.903126402860082,42.52,49.842,45.055400000000006,49.1712,6.416449334413885,6.3561676868108385,0.6121561022962616,4.918292386591128,7.370410843365481,5.826200814563773,7.188585805614143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5359.4,5380.5,191.6980630273062,4831,5637,5164.5,5578.4,0.540875401275294,0.537737806281297,0.0157176644930776,0.511399432141139,0.573386359454611,0.5245632595409696,0.5573319178489536,1.1523683261183257,1.0787878787878786,0.26867070012211547,0.75,1.75,0.9149999999999999,1.5214285714285718,0.5618081264217976,0.5564735485626838,0.04013756426269111,0.49519431326227903,0.6398118904368085,0.5174877546420502,0.6058338540345622,76.35,76.5,5.450977700810823,65,88,71.3,81.4,44.55,45,4.418561328139094,37,53,38,49,204.72972284399472,202.8333009825646,10.297487833588386,186.4810240656517,222.77334611958915,192.19774367995777,217.54229455285358
0.015,0,500,52.45,52,1.9049796241485237,49,56,51,55.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,5.7,6,0.47016234598162726,5,6,5,6,46.8475,46.863,2.2852372789390234,42.398,50.644,44.089,49.6254,6.557878486437569,6.605632553145002,0.5185806105122253,5.440918672430244,7.77279975298477,5.952789068991924,7.034689098215597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5335.45,5343,270.01802571407393,4768,5702,4951.2,5660.2,0.5429118657342519,0.540221868290452,0.012505910057897786,0.5242169268136985,0.5712856251464066,0.5275550514346925,0.5610382179461962,1.232385114885115,1.1538461538461537,0.3245813841045084,0.7692307692307693,2.25,0.9857142857142858,1.5767857142857142,0.5706609933210793,0.5740024435851006,0.03699226369206468,0.5033262347288681,0.6474440631854784,0.5241053093206157,0.6082398555119628,78.6,79,6.715261487247184,64,92,71.3,84.4,46.15,46,6.807696882360823,31,61,40.300000000000004,52.2,198.46122786676207,199.06151251182257,10.798017930332275,179.12120034282864,221.76529653416807,181.5860870131857,209.04012720298437
0.02,0,500,52.55,52.5,2.394621165511528,48,57,49,55.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,5.7,6,0.47016234598162726,5,6,5,6,48.28840000000001,48.487,1.606280908774906,44.766,51.056,46.4218,50.3466,6.509498398039194,6.43472801287829,0.5159810338468258,5.820931540569766,7.953415366998009,5.924621096013808,7.051358565155297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5448.5,5451.5,184.67852580832684,5136,5769,5202.900000000001,5662.7,0.5507428152819226,0.5502640734691286,0.01395779988806326,0.5274232863553892,0.5771420093721965,0.5354649949886927,0.5682051487918485,1.0897642454164194,1,0.27813419777598325,0.782608695652174,1.7142857142857142,0.7857142857142856,1.4625000000000001,0.5646891758327461,0.5619961302578569,0.027460576543875858,0.5084134045639961,0.6117414681540017,0.5358802876859591,0.5952835212159557,81.35,82,5.314082581613738,68,91,73.8,86.2,48.8,48.5,6.387487769068525,36,61,38.900000000000006,56.2,202.06562729057256,201.24347615579643,10.029294252608018,184.26535325021746,220.05415155972622,191.18036804569078,216.24780703186778
0.025,0,500,51.65,52,2.641271623569542,47,56,47.9,55,0,0,0,0,0,0,0,500,500,0,500,500,500,500,9.55,10,0.6863327411532598,8,10,8.9,10,46.79109999999999,47.007,1.7612324004574342,42.824,49.514,44.3308,48.7242,6.522820541507687,6.472124490403516,0.5055797956545047,5.682258705831681,7.566768398728735,5.9362753551196805,7.260063145894035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5330.15,5351.5,181.30035416692556,5022,5622,5101.900000000001,5523.8,0.5508014000081566,0.5500117549997641,0.018280943624404727,0.5197667609244053,0.5996345851358221,0.530915188185844,0.5669258263041207,1.0715928077770183,1.03125,0.2011100803682369,0.75,1.4545454545454546,0.8849999999999999,1.4054545454545455,0.5700195711148239,0.5660145805018042,0.026870558710053265,0.5192450114139552,0.614751186071868,0.5355313229977176,0.6051988853669122,82.55,83,5.529585498884495,72,94,75.89999999999999,88.2,50.9,50.5,5.739062824648563,40,67,43.900000000000006,56,189.68470612293308,191.63255000561838,9.972084505222055,173.4132568461705,204.08822548317488,177.51820047880096,201.56313844441138
0.030000000000000002,0,500,50.55,50,2.350251946180731,47,54,47.9,54,0,0,0,0,0,0,0,500,500,0,500,500,500,500,12.35,12.5,0.8127277008872492,10,13,11.899999999999999,13,46.537800000000004,46.555,1.4431968753613047,43.96,48.942,44.6312,48.615,6.5125296171375435,6.504696932919126,0.4854219931981243,5.373804611260076,7.537002056520864,6.07390384396055,7.046644180188894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5273,5263,167.10475756243446,5028,5571,5069.3,5494.900000000001,0.5611820639527186,0.5622003461433902,0.014671048764288128,0.5274660135880487,0.5884184226295504,0.5432437282630868,0.5764221045220672,1.0380277546241168,1,0.22431340841475772,0.7333333333333333,1.6,0.8698529411764706,1.280555555555556,0.5542880611826592,0.5526074060926004,0.03406882090763079,0.48316732265385565,0.6116425683031307,0.5141532466689173,0.5920485503206976,87.25,88,6.406205872762015,66,95,81.7,94,56.7,59,6.775342290828909,35,67,52.2,61.1,184.95156848118836,183.3080578091967,8.45637707616505,172.94433010844165,201.26165222132914,175.2211571110243,196.47720306759288
0.035,0,500,49.4,49.5,1.635140425323255,47,52,47,51,0,0,0,0,0,0,0,500,500,0,500,500,500,500,17.2,17,0.7677718959499144,15,18,16.9,18,46.53990000000001,46.805,1.2654867131078975,43.894,48.356,44.8914,47.763600000000004,6.213398505463592,6.233844258974811,0.3167320173981959,5.409817372148521,6.730794901049968,5.933714456161567,6.642096399916778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5283.5,5273,152.13065714084476,5081,5598,5093.799999999999,5450.6,0.5670271437342322,0.5656436761706418,0.014067463536251754,0.5298204646884039,0.5967876022997503,0.5558460400039251,0.5811941579919608,1.0534242453882547,1,0.16490672030322523,0.8,1.3846153846153846,0.8919298245614036,1.2440559440559442,0.571433774241314,0.5697474434151405,0.033134424234750735,0.5179285294813426,0.64228228207136,0.5305971029932334,0.6071519313090332,90.95,90,4.297796252916016,84,102,86.9,97,61.55,61,4.334379091088268,54,71,56.9,66.4,179.83487703259476,180.43788777318775,7.7130265914022536,163.81186094305653,195.82118483064875,170.03773124951513,187.94910746374217
0.04,0,500,49.5,50,1.820930936000652,47,52,47,52,0,0,0,0,0,0,0,500,500,0,500,500,500,500,18.8,19,1.005249379900069,17,20,17,20,45.7487,45.793,1.530789720510644,42.346,49.676,44.1542,46.91720000000001,6.334828279615133,6.361889215973701,0.48313414045369146,5.3485919642462845,7.00518065434433,5.654194048361624,6.9303720884604445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5148.65,5115,146.81039508584928,4822,5549,5053.3,5310.8,0.5671665481977315,0.5710658610900969,0.02046602128683294,0.5210299578313964,0.5952918829620575,0.5399487290588652,0.5888004952516153,1.0827566205294534,1.069047619047619,0.20396255503949445,0.7142857142857143,1.6,0.885263157894737,1.2390109890109893,0.5719279818182905,0.5663317984182075,0.03108952434482655,0.509818862403022,0.6405852916105158,0.5456955709790955,0.6105775575838654,91.95,92,5.355518550744495,85,102,85,100.1,62.45,62,5.365337091484855,53,73,57.800000000000004,70.30000000000001,175.1707850239893,175.90799452894163,10.0049059359233,155.08905044267723,192.57479417745196,164.2615571628796,186.49798857744125
0.045,0,500,49.7,50,1.8945906376340316,47,52,47,52,0,0,0,0,0,0,0,500,500,0,500,500,500,500,22.65,23,1.4964871146156011,19,25,20,24,45.45289999999999,45.316,1.845926665019924,41.784,48.144,42.982400000000005,47.939,6.253797811411564,6.304315043092945,0.4707458069063606,5.262295696746824,6.789891309881166,5.507150482393307,6.743711183613673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5137.4,5141.5,188.01102991160133,4791,5412,4854.1,5402.599999999999,0.5818342021341858,0.5839180922275762,0.016350418294158165,0.5528026429933063,0.6085074764112938,0.5568364895946897,0.5982606383658842,1.1256330760742523,1.1071428571428572,0.2063996111578627,0.8333333333333334,1.6,0.8807843137254902,1.4054545454545455,0.5714991112804231,0.5770729102005716,0.04182420074131145,0.49384561118761006,0.6487758217823336,0.5204222865408801,0.6281734660443856,92.7,92.5,4.566468173429808,85,102,86.9,99.1,63,62,5.920526292395581,55,75,55,71.2,171.6608257116415,173.5147012063974,11.813185699258442,148.42843934768672,190.13694227964575,156.93110850102173,186.02006438983398
