parameter_value,collapse_rate,mean_survival_epochs,final_population_mean,final_population_median,final_population_stddev,final_population_min,final_population_max,final_population_p10,final_population_p90,collapsed_mean,collapsed_median,collapsed_stddev,collapsed_min,collapsed_max,collapsed_p10,collapsed_p90,survival_epochs_mean,survival_epochs_median,survival_epochs_stddev,survival_epochs_min,survival_epochs_max,survival_epochs_p10,survival_epochs_p90,total_catastrophe_deaths_mean,total_catastrophe_deaths_median,total_catastrophe_deaths_stddev,total_catastrophe_deaths_min,total_catastrophe_deaths_max,total_catastrophe_deaths_p10,total_catastrophe_deaths_p90,mean_population_mean,mean_population_median,mean_population_stddev,mean_population_min,mean_population_max,mean_population_p10,mean_population_p90,population_volatility_mean,population_volatility_median,population_volatility_stddev,population_volatility_min,population_volatility_max,population_volatility_p10,population_volatility_p90,total_immune_threats_mean,total_immune_threats_median,total_immune_threats_stddev,total_immune_threats_min,total_immune_threats_max,total_immune_threats_p10,total_immune_threats_p90,total_pressure_mutations_mean,total_pressure_mutations_median,total_pressure_mutations_stddev,total_pressure_mutations_min,total_pressure_mutations_max,total_pressure_mutations_p10,total_pressure_mutations_p90,total_trait_mutations_mean,total_trait_mutations_median,total_trait_mutations_stddev,total_trait_mutations_min,total_trait_mutations_max,total_trait_mutations_p10,total_trait_mutations_p90,mean_fitness_mean,mean_fitness_median,mean_fitness_stddev,mean_fitness_min,mean_fitness_max,mean_fitness_p10,mean_fitness_p90,birth_death_ratio_mean,birth_death_ratio_median,birth_death_ratio_stddev,birth_death_ratio_min,birth_death_ratio_max,birth_death_ratio_p10,birth_death_ratio_p90,gini_coefficient_mean,gini_coefficient_median,gini_coefficient_stddev,gini_coefficient_min,gini_coefficient_max,gini_coefficient_p10,gini_coefficient_p90,total_births_mean,total_births_median,total_births_stddev,total_births_min,total_births_max,total_births_p10,total_births_p90,total_deaths_mean,total_deaths_median,total_deaths_stddev,total_deaths_min,total_deaths_max,total_deaths_p10,total_deaths_p90,total_entropy_burned_mean,total_entropy_burned_median,total_entropy_burned_stddev,total_entropy_burned_min,total_entropy_burned_max,total_entropy_burned_p10,total_entropy_burned_p90
0,0,500,53.2,53.5,2.3078812338319503,48,57,50.9,56,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0,0,0,0,0,0,0,48.664399999999986,49.183,2.3863934117805212,43.126,51.88,45.82860000000001,51.5666,6.676878382230226,6.707343006683717,0.35590931563307415,5.838674849655529,7.29990246510184,6.28683122718764,7.11638194165584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5381701335634197,0.5348180285432292,0.0165692543668876,0.5132185633791287,0.5838238617900979,0.520428275478469,0.5578371915890941,1.2252146464646463,1.1339285714285714,0.4443182545961333,0.75,2.75,0.8318181818181818,1.5357142857142863,0.547858897948018,0.542024396618916,0.034434565016309336,0.4882920188901356,0.6136216039140776,0.513701139268932,0.5904979433599366,74.45,73.5,7.577494378264598,59,87,65.8,82.2,41.25,40.5,6.742442162583931,28,53,31.9,49.1,221.24431431787337,221.96780288124944,13.264587703997488,199.34000167555328,242.6553098776558,206.44985867948012,237.48811426257691
0.005,0,500,52.65,52,2.4338619949632143,47,57,50.8,55.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,2.85,3,0.36634754853252327,2,3,2,3,48.1366,48.443,2.3474917498874146,43.378,51.212,44.578,50.97260000000001,6.855755296116716,6.810540976714174,0.7362623386634839,4.988663548486693,8.09499870290292,6.153716279673847,7.759643849535194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5502166521897324,0.5502215313416525,0.01911585213358324,0.5078777562358474,0.5883142025117095,0.5303641656206552,0.5691916206239422,1.0745698745698746,1,0.2768766086687079,0.6153846153846154,1.6666666666666667,0.7840659340659341,1.380357142857143,0.5674050268679685,0.5648440254269151,0.023961632820006677,0.5322018392822458,0.6275404182922665,0.5354069264962688,0.5955926561778807,74.95,76.5,7.863807836170117,55,86,65.6,84.1,42.3,41,7.363494593708814,28,56,34.5,52,216.3088345745345,215.0375787040483,9.885327801221276,196.43266080267645,236.33703320952588,206.53844647880874,228.62970349471453
0.01,0,500,53.4,53,2.798495836582292,47,58,49.8,56.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,2.95,3,0.2236067977499789,2,3,3,3,48.3112,48.609,2.3571392473884405,42.654,51.246,45.5652,50.7196,6.464366948385026,6.553866731336587,0.6352905316527443,4.740705010860728,7.210790525316886,5.888893585935508,7.121649259578703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5409795805036461,0.5451275536549411,0.020492949331363093,0.5008347134469108,0.5706565461907959,0.5115156867794225,0.5658065511380614,1.1891017316017316,1.1818181818181819,0.22755890840926013,0.8571428571428571,1.7142857142857142,0.9149999999999999,1.45,0.5680017122233002,0.5639030327117355,0.04323698051959698,0.5105420915133444,0.669007830067832,0.5245587262366809,0.6199553978900406,74.8,75.5,7.359919908031037,63,87,65.8,83.1,41.4,40,5.798366376107925,32,54,35.800000000000004,49,210.0845372778702,210.4464889640564,7.399452772783406,193.63178150618938,221.13699176916458,200.68373276289992,219.1919621081188
0.015,0,500,51.55,52,1.571958215595741,47,54,49.9,53,0,0,0,0,0,0,0,500,500,0,500,500,500,500,5.9,6,0.3077935056255462,5,6,5.8999999999999995,6,47.07809999999999,46.786,1.8486125067195676,43.108,50.266,45.192,49.6172,6.581034511575436,6.655941149698489,0.5601553895812755,5.247428322521428,7.7179883389390955,6.118464013987774,7.230757910840775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5596915678305673,0.5580375549359611,0.010727225107195034,0.5412516384734902,0.5809250854905835,0.5493982857563199,0.5779436794982895,1.137629690570867,1.0769230769230769,0.2847065184473002,0.75,1.7,0.8384615384615385,1.61,0.5607684484797202,0.5604054587871514,0.02918251448036734,0.5102768686925723,0.6258755452735005,0.5202567911339605,0.6032351675433321,79.15,79.5,7.058216563171718,62,91,70.9,86,47.6,48.5,6.953984090925295,33,59,38,54.300000000000004,199.1652263365771,198.29427240359678,8.877299380270742,186.75423831971685,216.5718723057205,188.68961463829103,209.6639608927054
0.02,0,500,51.95,51.5,2.305028827311459,49,56,49.9,55.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,5.75,6,0.4442616583193193,5,6,5,6,47.321,47.006,1.8637528071919274,43.646,51.042,45.555,49.9566,6.528109073828368,6.650856631794344,0.5124298362237901,5.120904607586461,7.256238970706516,5.9333479085224425,7.017107121407168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.554101831293565,0.5580014952835866,0.017103242588063068,0.5171648056162771,0.5747037271762778,0.5322375904071192,0.5721421300262179,1.0745106976356977,1.0333333333333332,0.19889432960271522,0.7,1.5555555555555556,0.8532467532467531,1.2754545454545456,0.5501834846280133,0.5482053898608636,0.04312414256642793,0.4666012708436439,0.6435645839491303,0.5048411531591981,0.6032455265517805,78.95,79,5.345681976088148,69,92,72.89999999999999,83.19999999999999,47,46.5,5.467607963461285,36,57,38.900000000000006,53,198.23934165122733,197.3429512107764,10.640633171368426,183.6607669354431,220.13968628597945,187.5238630101429,215.88731425931707
0.025,0,500,52.2,52.5,2.353049533108719,47,56,49.8,55.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,9.25,9,0.6386663736585051,8,10,8.9,10,46.1626,47.150000000000006,2.6102708147461993,40.384,49.076,43.0722,48.8674,6.6927944048311705,6.606778231039769,0.7029458724843011,5.388700771057907,8.519891079115979,5.998688728547325,7.418357852304091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5534018488357577,0.5561875712119331,0.01677186741339587,0.5266123242794949,0.5777506218053168,0.5322775815433367,0.5744625983223364,1.1453822851984619,1.1168831168831168,0.2038710138830742,0.7777777777777778,1.6,0.9025210084033614,1.4054545454545455,0.5600937659626339,0.5599523443118826,0.032500798258105215,0.5007176052847763,0.6326797709000933,0.5143439069305686,0.5956535792563536,80.35,81,5.527681535498833,70,88,72,87,48.15,49.5,4.463595435355485,39,54,42.699999999999996,53.1,189.30787997395623,190.49134003882762,13.232590133634961,158.15423543136464,208.97939009728833,171.97530626406544,203.3881740578506
0.030000000000000002,0,500,50.45,51,2.1878853044122666,47,55,47,53,0,0,0,0,0,0,0,500,500,0,500,500,500,500,12.35,13,0.8750939799154206,10,13,11,13,46.884699999999995,47.406000000000006,1.526506886222336,42.108,48.624,45.566,48.1974,6.573999700713107,6.648909009009585,0.534121743488605,5.410734146120993,7.438863085176392,6.081516015008026,7.180757811477262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5775305523668771,0.5796689832415969,0.016827744722436522,0.5394343962728407,0.6069030861236876,0.5570380699894447,0.5934796355376434,0.9900914853120737,1,0.1569962084187573,0.6666666666666666,1.3,0.7977777777777779,1.1730769230769234,0.5836231701416184,0.5726935252659455,0.03919350099122164,0.5188258187920822,0.67631329380705,0.5437157548122107,0.6343935583571852,85,85.5,6.11297154030931,68,95,79,92.1,54.55,57,5.481788029466299,40,61,47.9,60,190.5224906243729,191.28702356687984,7.803699965166813,165.2113067250461,200.70726028761396,185.71399906057556,197.82109867874433
0.035,0,500,49.9,49.5,1.9439514830419644,47,54,47.9,52.2,0,0,0,0,0,0,0,500,500,0,500,500,500,500,17.05,17,0.8870412083230167,14,18,16.9,18,45.930099999999996,45.804,1.602477355123688,43.14,48.776,43.917,48.1514,6.4091146544695174,6.514143440449441,0.3799256795245746,5.561442618601764,7.07639767113183,5.9862167327903295,6.729516892765715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5707853097568113,0.5740322209058644,0.016239709585829657,0.5368385438031205,0.604036348256502,0.5531956066690142,0.5874417815563764,1.061944354664943,1.0555555555555556,0.12705360864023188,0.875,1.2857142857142858,0.928888888888889,1.2362637362637363,0.5799833154523608,0.5830436331575908,0.04048281544484499,0.5138301948732446,0.7007834340912354,0.5253443271181164,0.6031320833224139,87.15,87,4.6935005452669385,79,97,81.9,92.2,57.25,57,5.138861229576268,48,66,51.9,65,178.32760217332137,175.5542035760778,11.001264692118468,162.87099702774591,195.4976004914373,164.32747472796942,193.02346735055036
0.04,0,500,49.4,49,1.9029063643750175,47,53,47,52,0,0,0,0,0,0,0,500,500,0,500,500,500,500,18.9,19,0.7181848464596078,17,20,18,20,45.5702,45.857,1.2435397523961484,43.012,47.854,44.002399999999994,47.007799999999996,6.463757205474375,6.420862703862369,0.5610546353713647,5.512854433050092,7.690360459692393,5.782153222891666,7.181102122039912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5750858118639163,0.5756825836751065,0.013832930567374703,0.5450282916635115,0.6036137461762037,0.5628962401589457,0.5875033347773957,1.0363593037509444,1.0294117647058822,0.14190975576242992,0.7777777777777778,1.3636363636363635,0.8842105263157894,1.2159340659340658,0.5701303309929445,0.5601136095916044,0.05238862331423219,0.47807774588057406,0.669930296262942,0.5223225611138393,0.6463055761934895,91.3,92,4.181412503725959,85,99,86,97.10000000000001,61.9,61,4.564162458476738,55,71,56,67.30000000000001,171.75107595170797,172.03999952026498,9.579785842178854,143.2548062627697,185.81579784661685,165.10776312113535,181.24243245197655
0.045,0,500,49.25,49,1.7733405882980469,46,52,46.9,51.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,22.65,23,1.0894228312566054,20,24,21,24,45.44180000000001,45.563,1.8289605791268437,40.534,48.48,43.6342,47.430800000000005,6.13910912858341,6.109370690680359,0.37375746053998493,5.587921259287752,7.023358455895575,5.63700689350412,6.5629795486155516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5704814079499594,0.5716519451413284,0.02592794702602387,0.5140566337626453,0.6094642014293034,0.5357906337799879,0.5999190649915737,1.1143771330149037,1.0669642857142856,0.12772570167807465,0.9,1.3636363636363635,0.99375,1.2635087719298246,0.5755533056607783,0.5886330237503432,0.045145265975685085,0.491047781373847,0.6396865792235135,0.4990740765209173,0.6292419071660377,94.8,94,6.477491392263065,84,109,85.89999999999999,101.50000000000001,65.55,65,6.320184874044846,54,79,58,72.5,168.913167826907,169.66786448720217,11.609913639132465,145.59943206696786,192.86775787466,153.0262352953514,179.7671333159903
