parameter_value,collapse_rate,mean_survival_epochs,final_population_mean,final_population_median,final_population_stddev,final_population_min,final_population_max,final_population_p10,final_population_p90,collapsed_mean,collapsed_median,collapsed_stddev,collapsed_min,collapsed_max,collapsed_p10,collapsed_p90,survival_epochs_mean,survival_epochs_median,survival_epochs_stddev,survival_epochs_min,survival_epochs_max,survival_epochs_p10,survival_epochs_p90,treasury_ratio_mean,treasury_ratio_median,treasury_ratio_stddev,treasury_ratio_min,treasury_ratio_max,treasury_ratio_p10,treasury_ratio_p90,gini_coefficient_mean,gini_coefficient_median,gini_coefficient_stddev,gini_coefficient_min,gini_coefficient_max,gini_coefficient_p10,gini_coefficient_p90,mean_fitness_mean,mean_fitness_median,mean_fitness_stddev,mean_fitness_min,mean_fitness_max,mean_fitness_p10,mean_fitness_p90,mean_population_mean,mean_population_median,mean_population_stddev,mean_population_min,mean_population_max,mean_population_p10,mean_population_p90,population_volatility_mean,population_volatility_median,population_volatility_stddev,population_volatility_min,population_volatility_max,population_volatility_p10,population_volatility_p90,total_births_mean,total_births_median,total_births_stddev,total_births_min,total_births_max,total_births_p10,total_births_p90,total_deaths_mean,total_deaths_median,total_deaths_stddev,total_deaths_min,total_deaths_max,total_deaths_p10,total_deaths_p90,birth_death_ratio_mean,birth_death_ratio_median,birth_death_ratio_stddev,birth_death_ratio_min,birth_death_ratio_max,birth_death_ratio_p10,birth_death_ratio_p90,total_catastrophe_deaths_mean,total_catastrophe_deaths_median,total_catastrophe_deaths_stddev,total_catastrophe_deaths_min,total_catastrophe_deaths_max,total_catastrophe_deaths_p10,total_catastrophe_deaths_p90,total_entropy_burned_mean,total_entropy_burned_median,total_entropy_burned_stddev,total_entropy_burned_min,total_entropy_burned_max,total_entropy_burned_p10,total_entropy_burned_p90,role_entropy_mean,role_entropy_median,role_entropy_stddev,role_entropy_min,role_entropy_max,role_entropy_p10,role_entropy_p90
0.00001,0,500,52.53333333333333,53,3.1817934445544265,47,57,48.4,56.6,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.0008129538549299725,0.0008152664776902944,0.000024449863728840653,0.0007653326146111813,0.0008622770973253751,0.000783615038997539,0.0008319894188686073,0.5397017125067204,0.5181028630812996,0.055639761850044496,0.47350690105252186,0.6424424318766002,0.48803570755008385,0.6287811992655646,0.5373835401278234,0.5398060646120021,0.017402402199401402,0.5071127697718716,0.5611481958342075,0.5133510521667652,0.5574401055724011,48.62853333333333,49.348,2.1710748446224466,43.474,51.774,46.1352,50.3968,6.808829661600728,6.894396565327558,0.6632088439436813,5.167103250371543,7.831344967500796,6.223696220448354,7.559990893370671,76.46666666666667,77,4.373077809027587,68,82,69.2,80.6,43.93333333333333,44,4.636295729916081,35,54,39.400000000000006,48.8,1.0449618736383444,0.9375,0.29955588236904346,0.7647058823529411,1.7142857142857142,0.780952380952381,1.488888888888889,2.466666666666667,3,0.6399404734221844,1,3,2,3,24.211830679376405,24.15628893894564,1.0228066076400337,22.941555917022768,26.252662979347473,23.126124678797257,25.64287741724984,2.316671022822133,2.3184916359914913,0.007082024368392161,2.2936728403958497,2.3210238286880513,2.311375195335332,2.320887549147067
0.00002,0,500,53.4,54,1.8047556225547148,50,56,50.8,55,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.004478474387034883,0.0008142619734947343,0.014183254625353034,0.000768910061172443,0.05574780009294654,0.0007931493884484348,0.0008624952470838632,0.5425538333408629,0.5445074326138672,0.031247086428098026,0.5062986225329607,0.6100260645059989,0.5103756585644322,0.5825559786196499,0.5461306502769994,0.5456594262845335,0.01861831054124461,0.5110499659673845,0.5798360990630447,0.5226601827565163,0.566539223195609,49.00333333333334,49.364,1.5120422644634677,44.556,50.71,47.812,50.3264,6.766367648079938,6.720100892099765,0.45371960860502575,5.83468079675317,7.519115639488473,6.2449207280922465,7.294776612373699,76.8,79,7.163399033579361,58,86,68.6,82,43.4,46,6.631095578517065,28,54,34.8,48.6,1.0459788359788358,1,0.24622390576909223,0.6666666666666666,1.7,0.8047619047619048,1.2466666666666666,2.3333333333333335,2,0.4879500364742666,2,3,2,3,69.20756597504865,69.22376904203144,2.9936133520446764,62.609832176806115,73.62953299857088,65.12109363477353,71.99805610502204,2.3176206039352136,2.3195401794781447,0.005783180387510091,2.2978208581185955,2.321928094887362,2.3153438856841775,2.320982096826998
0.000030000000000000004,0,500,53.666666666666664,54,2.554174920362645,47,57,51.400000000000006,56,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.0008174202558336208,0.0008125350865463656,0.000029155787121994168,0.0007807836444344548,0.0008978609445585246,0.0007923539536539956,0.0008442304585889262,0.5372355302197774,0.5264159785174554,0.0297159667494553,0.48384054677242955,0.5915180672868862,0.5097825278393597,0.5798934560190069,0.5431261754229921,0.5452222709944357,0.016150199891815993,0.5131235263376501,0.5651648050403838,0.5230862331355791,0.5624180390733557,48.3056,48.552,2.610030563586784,40.726,52.872,47.3168,50.788,6.9116702714804505,6.930378344650479,0.7387105984175406,5.12122290083141,8.052689240247629,6.274262923953526,7.89322919966304,76.4,77,8.398979529851061,62,96,66.2,83.19999999999999,42.733333333333334,44,8.404647240550625,29,61,33.400000000000006,51.8,1.1554208754208755,1,0.28026165519439405,0.8,1.75,0.9036363636363637,1.5206349206349206,2.466666666666667,3,0.6399404734221845,1,3,2,3,159.12700437284815,158.39389033593736,11.074842246092517,136.65849308050662,184.50689909146104,148.35935854657836,168.74144761301488,2.317874654640316,2.318006076858778,0.0027984368041276473,2.312126974292621,2.3210238286880513,2.3147004058587277,2.3207024826595264
0.00004,0,500,53.266666666666666,54,2.658320271650251,47,57,50,56,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.0027805094850212346,0.0008691596296218632,0.007410337931208251,0.0008123273800181343,0.02956708301950102,0.0008360684289079239,0.000906759110124809,0.539012858883202,0.5481777843463166,0.03155564979514807,0.47693869758762625,0.5762984645168701,0.48974204897494994,0.571342920486769,0.544299292751893,0.5487203713959123,0.024568310106105766,0.4916509820234429,0.571903411973871,0.5087937197182077,0.5689680801685513,48.03333333333333,48.258,2.2126542130813545,43.296,51.97,45.47839999999999,50.494,7.003839254877452,6.926314748840112,0.509560551397319,6.051492047421024,7.916577795992439,6.491352506274829,7.711988009052188,75.73333333333333,76,5.750362307426087,66,83,66.80000000000001,81.6,42.46666666666667,43,6.916508890914205,30,56,34.8,50.199999999999996,1.1257488807488807,1.0909090909090908,0.2935953835128387,0.7222222222222222,1.8571428571428572,0.8098901098901099,1.477272727272727,2.533333333333333,3,0.6399404734221845,1,3,2,3,262.3275925034861,259.04852714093295,16.64450703378289,232.6597255859129,292.7167086134939,241.52024375456404,281.3040754831368,2.3183236794675524,2.3190378764824855,0.003223643302334738,2.3100508789044927,2.321928094887362,2.3140855176987456,2.320765080451106
0.00005,0,500,52.86666666666667,54,2.8751811537130436,48,57,48.8,56.2,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.0055682875560413205,0.0008932021785853276,0.016328191728820097,0.0008470598793637171,0.0642455014533576,0.0008516608117735362,0.00502767822957696,0.5555746464743888,0.5533564253176726,0.0307194416220319,0.5104775420099384,0.6057120822198904,0.5145471163681975,0.5949303028627022,0.5383282021881225,0.5393590209241811,0.014977614426698854,0.5134900917248693,0.5627616775367071,0.517357715754255,0.5543161579534955,47.875733333333336,47.692,1.4138627669648574,45.582,49.984,46.1168,49.8776,6.784765959004823,6.817642994466645,0.6787866918754668,5.349698683103565,7.831598559681175,5.877062631543756,7.491494309028477,75.53333333333333,75,4.033195589934445,68,82,70.4,80,42.666666666666664,41,4.203173404306164,36,51,38.2,48,1.1563083213083212,1.0909090909090908,0.25821064312676384,0.8,1.7142857142857142,0.9214285714285714,1.5204545454545453,2.3333333333333335,2,0.6172133998483678,1,3,2,3,362.1527168514824,364.4755376422557,12.007625547528015,332.413253548326,375.0274357830922,349.13282479631187,373.2929729734733,2.315472386801867,2.317024921703941,0.0049980832244390545,2.3052186183495516,2.321928094887362,2.3079443142655425,2.320166850014245
0.00006,0,500,53.666666666666664,54,2.3196879921559237,49,56,51,56,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.0008987842620964609,0.000893200162823265,0.000038997854519609226,0.0008304306360809019,0.000996915210396045,0.0008589030416944594,0.000926760208081866,0.5525916355433107,0.560263460586434,0.031169729848817888,0.4985965837306206,0.6113312582672197,0.510493103395165,0.5858651939258512,0.5423963509984451,0.5398654980218043,0.014786224177845904,0.5193028584950851,0.5646737202375749,0.5250904299472801,0.5632608310052603,48.15186666666667,48.61,1.9462376109034683,44.534,51.64,45.4944,49.995599999999996,6.981494172992851,6.897191022438058,0.7246360015800574,6.114762137646894,8.55386602654028,6.1802686948400405,7.809889836699249,79.33333333333333,80,6.945365018348225,66,90,70.6,85.6,45.666666666666664,44,7.852812659593164,31,58,35.400000000000006,54.199999999999996,1.244480056980057,1.1111111111111112,0.467956979263907,0.6875,2.3333333333333335,0.7576923076923077,1.7999999999999998,2.2666666666666666,2,0.7037315505489967,1,3,1.4000000000000001,3,465.69396196742287,467.8869943341674,23.766689039122628,427.08918295994505,498.9805265962431,439.8903665497108,496.2264956923566,2.3169376985095886,2.318487362970475,0.00451470196181911,2.3045559265198814,2.3209194990354183,2.312016057526363,2.3206385967940726
0.00007000000000000001,0,500,52.266666666666666,53,2.2824381283013584,49,56,49,55,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.0009104815274868231,0.0009199711724856229,0.00003281136116948682,0.0008370470652148341,0.0009555753165150861,0.0008675864888012842,0.0009441987292831004,0.5659023563752779,0.567007009301719,0.036625931567233955,0.5134377127225686,0.6286344498603471,0.515748657011136,0.6107727045404335,0.5495338891299346,0.5489271598678961,0.01774954290894771,0.5122500969641111,0.5845628305368498,0.5311087186542285,0.5702502512292076,48.310133333333326,48.972,2.216035774165425,42.68,51.224,45.795199999999994,50.6416,6.636716498805632,6.5870976917000235,0.5157357931853506,5.638049308049731,7.391725103113622,5.9500645287416996,7.261862280215684,77.33333333333333,76,7.0575862594462,61,89,70.80000000000001,85.8,45.06666666666667,46,7.896352382738561,29,57,37.2,55,1.0553330003330004,1,0.28178195967979985,0.6923076923076923,1.7142857142857142,0.8337662337662338,1.4777777777777779,2.4,2,0.5070925528371101,2,3,2,3,568.5192403131572,576.9903201800985,25.237641100959706,526.630390769845,609.3676246624609,534.0903083425367,597.3988742930258,2.316154686359833,2.3176503369590127,0.004090376670499283,2.305894582082029,2.3209194990354183,2.311289182938912,2.3203198463799817
0.00008,0,500,51.93333333333333,52,3.0347197250362035,47,56,48.4,56,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.0009242334675826711,0.0009198400379638864,0.000018813210892570023,0.0009026705808258951,0.0009615616694825252,0.0009069548589380435,0.0009512281547418755,0.5508264398410222,0.5472593001558752,0.02717941239055472,0.5039787878989949,0.6046017299659953,0.5161080426986864,0.5747744986154485,0.5456003375725541,0.5432542398290535,0.02285483335844016,0.5021789269203459,0.5881858131484686,0.5221181396605309,0.573787972305114,48.041999999999994,48.49,2.533072442706684,42.8,52.008,44.8932,50.385999999999996,6.857374360528594,6.7851025047526,0.5704264816456112,6.10335776437855,7.995683585535376,6.194689184829427,7.582341839173816,75.13333333333334,76,5.111145617550875,63,83,70,80,43.2,43,4.459340117743239,35,53,38.8,47.6,0.9959259259259259,1,0.1728430304967971,0.6875,1.25,0.805,1.2,2.4,2,0.6324555320336759,1,3,2,3,664.2934353299332,664.6442011396991,46.599754731025364,585.2049834582389,737.7450513663011,607.6767530837647,718.182102374322,2.316259736982855,2.318678554625427,0.005123889617848297,2.304665871643796,2.3209194990354183,2.3088823212067715,2.320571194093417
0.00009,0,500,51.6,51,2.557900925144901,47,56,49,55,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.000962634187543885,0.0009596861440820462,0.00003316068273452741,0.0009133882730502962,0.0010348147703635293,0.0009262742987493273,0.001003970800788621,0.5842562329278459,0.5816121469512715,0.027557571830959263,0.5437267937719398,0.6348495281210844,0.5480221451718836,0.612607645966618,0.5538502328129936,0.55679728468634,0.02065531889695261,0.5087596140564078,0.5844842159180174,0.5259815721565252,0.5761849468369566,47.50546666666666,47.994,2.104730110511854,43.9,50.14,44.7764,49.9036,6.927897661913702,6.960201146518695,0.7261748014061198,5.142890626875133,8.171780711693124,6.22617759663105,7.660285866667488,75.86666666666666,76,6.197541755367512,65,85,67.2,83.19999999999999,44.266666666666666,45,5.787507070858584,34,52,36.8,51.6,0.9882214082214082,0.9230769230769231,0.23898038965402962,0.6923076923076923,1.4444444444444444,0.8208333333333333,1.4166666666666665,2.466666666666667,3,0.6399404734221844,1,3,2,3,743.4503000518469,749.2798260675473,42.6967829392321,650.2041076536462,803.2708366367435,698.970791283939,787.1872349806413,2.3139274137379955,2.3151725294030165,0.008064583982732808,2.293789686952647,2.3208396243145395,2.303584734954348,2.3207840484921514
0.0001,0,500,52.53333333333333,52,2.669046557070432,47,57,49.400000000000006,55.6,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.006029221468291365,0.0009795380852160322,0.01955265662394099,0.0009540349596994542,0.07670783569385953,0.0009630655444079779,0.0010105097971101135,0.5700832902643233,0.5691595964808998,0.02706345200983831,0.534897019883099,0.6450648424691897,0.5402600901686937,0.5906490344647994,0.545515910554007,0.5424905197276509,0.01778199783195278,0.509960051872412,0.5751572635492234,0.5301469068756134,0.5695202672249818,48.1672,48.48,1.4471873805025086,45.148,49.87,46.5068,49.8304,6.6708941379547175,6.710545730415684,0.4851593996543461,5.524318600515381,7.35389529433211,6.142857483260893,7.261881200294157,78.26666666666667,78,6.474859807270697,62,86,73.4,85.6,45.733333333333334,45,7.166057559940539,31,57,38,55.8,1.119936544936545,1.1,0.24941809614465735,0.6666666666666666,1.625,0.9146853146853147,1.4777777777777779,2.466666666666667,2,0.5163977794943223,2,3,2,3,836.7720153199002,841.7358906608195,35.025707914407754,766.9303148684836,883.0765640724495,797.9760047679979,877.1943191748103,2.318829238922167,2.3203370555133724,0.0025406776412701957,2.3135209511274697,2.321928094887362,2.3153438856841775,2.3209501469386464
