parameter_value,collapse_rate,mean_survival_epochs,final_population_mean,final_population_median,final_population_stddev,final_population_min,final_population_max,final_population_p10,final_population_p90,collapsed_mean,collapsed_median,collapsed_stddev,collapsed_min,collapsed_max,collapsed_p10,collapsed_p90,survival_epochs_mean,survival_epochs_median,survival_epochs_stddev,survival_epochs_min,survival_epochs_max,survival_epochs_p10,survival_epochs_p90,treasury_ratio_mean,treasury_ratio_median,treasury_ratio_stddev,treasury_ratio_min,treasury_ratio_max,treasury_ratio_p10,treasury_ratio_p90,gini_coefficient_mean,gini_coefficient_median,gini_coefficient_stddev,gini_coefficient_min,gini_coefficient_max,gini_coefficient_p10,gini_coefficient_p90,mean_fitness_mean,mean_fitness_median,mean_fitness_stddev,mean_fitness_min,mean_fitness_max,mean_fitness_p10,mean_fitness_p90,mean_population_mean,mean_population_median,mean_population_stddev,mean_population_min,mean_population_max,mean_population_p10,mean_population_p90,population_volatility_mean,population_volatility_median,population_volatility_stddev,population_volatility_min,population_volatility_max,population_volatility_p10,population_volatility_p90,total_births_mean,total_births_median,total_births_stddev,total_births_min,total_births_max,total_births_p10,total_births_p90,total_deaths_mean,total_deaths_median,total_deaths_stddev,total_deaths_min,total_deaths_max,total_deaths_p10,total_deaths_p90,birth_death_ratio_mean,birth_death_ratio_median,birth_death_ratio_stddev,birth_death_ratio_min,birth_death_ratio_max,birth_death_ratio_p10,birth_death_ratio_p90,total_catastrophe_deaths_mean,total_catastrophe_deaths_median,total_catastrophe_deaths_stddev,total_catastrophe_deaths_min,total_catastrophe_deaths_max,total_catastrophe_deaths_p10,total_catastrophe_deaths_p90,total_entropy_burned_mean,total_entropy_burned_median,total_entropy_burned_stddev,total_entropy_burned_min,total_entropy_burned_max,total_entropy_burned_p10,total_entropy_burned_p90,role_entropy_mean,role_entropy_median,role_entropy_stddev,role_entropy_min,role_entropy_max,role_entropy_p10,role_entropy_p90
0.00001,0,500,52.86666666666667,54,2.53170373652286,48,56,49,55,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.002669615495026699,0.0008149304400119256,0.007162582384997062,0.0007895547315474352,0.02856066605382375,0.0007929117194884018,0.0008659183189442763,0.5477751211738244,0.5448202580844254,0.03403022608959278,0.5068401433945594,0.6277184173842038,0.5095430013309876,0.5861661362697654,0.5358925538850233,0.5253802158906952,0.021697720407569926,0.5144254977217064,0.5916975031683129,0.519400253815752,0.5638968290482058,48.26440000000001,47.954,2.2677834615702253,44.138,51.776,45.150800000000004,50.8896,6.8005916041015135,6.826336059702906,0.8028926059371461,5.415540231592776,8.568622759813838,5.778114270702824,7.604457938750583,74.73333333333333,74,5.457192719792144,66,83,68,82,41.86666666666667,42,4.307247491424303,35,49,37,46.599999999999994,1.1274326599326598,1,0.39743047764740275,0.75,2.2,0.8208333333333333,1.5818181818181818,2.2666666666666666,2,0.5936168397046637,1,3,2,3,24.001047357607213,24.02514887274559,1.0849574476251758,22.67231020163364,25.757253187749413,22.698967333288714,25.396320394108677,2.3162711752527922,2.317898932671029,0.004471528055258481,2.307470326757281,2.321928094887362,2.309383048782367,2.3202404012076885
0.00002,0,500,53.733333333333334,53,1.624221425205085,52,56,52,56,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.0008114747258544075,0.0008115771792426652,0.000027809819030075722,0.0007568578973334348,0.000864016460147395,0.0007863596493173076,0.0008482605690602022,0.5496835729959489,0.5524914547324018,0.04030197353649597,0.46111127032441235,0.6247687116496122,0.5059715682563403,0.5849246618493523,0.5409032881910397,0.5423640501774698,0.014993809673475715,0.5148293350940149,0.5612148896348713,0.5210294486020114,0.5567311411877084,49.09186666666667,48.94,2.0761069978849034,44.34,52.1,46.556,51.1676,6.831026841237951,6.775979633971754,0.42294954227089965,6.319525298628052,7.699993506490769,6.440566985407678,7.496993319311228,75.86666666666666,76,6.2549028388784365,68,88,69,84.2,42.13333333333333,41,6.311742646693958,33,53,33.800000000000004,50.4,1.0307113257113256,1,0.24732887418560376,0.6428571428571429,1.5,0.7153846153846154,1.349090909090909,2.3333333333333335,2,0.4879500364742666,2,3,2,3,71.51128505981337,70.42386363594555,3.6878900753634585,66.59094036421533,78.36887238666573,67.70966419050329,76.83757548647098,2.3175664610577797,2.3195401794781447,0.003691985937256464,2.3071087356552273,2.3210238286880513,2.3145232805663953,2.3203769580956886
0.000030000000000000004,0,500,53.8,55,2.569046515733026,46,56,51.400000000000006,55.6,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.004622558926245624,0.0008372292596278743,0.01467709645542805,0.000773295169206404,0.05767698665020985,0.0008033226754397724,0.0008781126521046098,0.5456866306585643,0.5412922060316995,0.035811528516477245,0.4822087710678969,0.5919424914605731,0.4925697437893273,0.5878422090649462,0.5405973271074925,0.5383581014835798,0.014426291172162688,0.5185914172732571,0.5618958790752359,0.5220593935741049,0.5579888715456459,48.953866666666656,49.556,1.5646165147074345,46.246,50.858,46.6832,50.6148,6.792454989851308,6.834534658628944,0.5343925899468208,5.840387315923489,7.578956128649899,6.0827402424140535,7.542742123974937,78.2,77,5.059644256269407,71,91,73.4,84,44.4,42,5.889457894043754,36,58,41,53.199999999999996,1.2137830687830686,1.1111111111111112,0.3157219434803798,0.8095238095238095,2,0.8999999999999999,1.5972222222222223,2.4,2,0.5070925528371101,2,3,2,3,156.1444990833173,158.13936448808857,7.088032243492266,144.28444705499663,167.47224804982255,146.73471741182,164.48332787215372,2.3161000629104747,2.3195401794781447,0.006921573727302557,2.294568128224339,2.321928094887362,2.3118965631128363,2.320982096826998
0.00004,0,500,53.53333333333333,54,1.7265434778633233,51,56,51,55.6,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.007083985466260374,0.0008496278739463966,0.024156031371377375,0.0008019486426346477,0.0944027958914097,0.0008276410751179539,0.0008899052107412663,0.5404770316667385,0.5273757834440158,0.030180717965872725,0.5096864027899701,0.59799822841713,0.5118697113304429,0.5837426024241394,0.5530266071254489,0.5456803540733649,0.01653645654337429,0.5346159427573158,0.5819686292737182,0.5365313101769826,0.5745857184919798,48.244666666666674,48.818,1.529533199876292,45.378,49.878,46.252399999999994,49.7816,6.781957451845928,6.880470623438494,0.5044986776333075,5.747618289343866,7.408002159826886,6.016855095098327,7.293190360976094,76.06666666666666,75,6.123335536718374,66,85,68.6,85,42.53333333333333,41,5.488516149544385,35,51,36,50.599999999999994,1.1514853664853664,1.1538461538461537,0.16597842612634314,0.8181818181818182,1.5,0.95,1.309090909090909,2.3333333333333335,2,0.7237468644557461,1,3,1.4000000000000001,3,264.8178837948145,259.6834126230413,13.350704687355892,248.04699721446895,286.1630535753714,251.64341284904322,283.60476746754006,2.317521819321138,2.318487362970475,0.004383882265489011,2.303352334830325,2.321928094887362,2.315430873966485,2.3209501469386464
0.00005,0,500,53,53,1.558387444947959,49,55,52,55,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.0008676802545409521,0.0008579965349561305,0.000027614145506564378,0.0008271677983983914,0.0009191384270581706,0.0008355005972749528,0.0009032838899605614,0.5625944994912169,0.5655122843847363,0.02754351982787664,0.5107464507149448,0.5980427417869576,0.5267443625978772,0.5932866112830742,0.5396135391549656,0.5418054976673209,0.022027609052495227,0.49042357489130595,0.5685967267337725,0.5195999647790612,0.5655193187207764,48.41373333333334,48.47,1.4790114201561724,45.834,50.772,46.343199999999996,49.9908,6.9138216608341745,6.807740006786393,0.6198948431964588,5.814317156812102,7.816305009401811,6.091061047612188,7.681789739327652,75.6,74,5.513619500836089,67,83,68.8,82.6,42.6,41,5.2345009313209605,34,51,38,50,1.05107578695814,1,0.22349467203625523,0.8181818181818182,1.7142857142857142,0.8325791855203619,1.206060606060606,2.3333333333333335,2,0.4879500364742666,2,3,2,3,371.13884352323953,367.9443709971436,18.345483021073854,331.0759431233906,398.68900868021166,353.9987581776128,394.18473943065567,2.3179694094919294,2.3176503369590127,0.0023214638022644118,2.3149638254591687,2.320700684758569,2.3149912231135366,2.3203769580956886
0.00006,0,500,52.86666666666667,53,3.313752009573496,47,58,48,56.6,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.0008877225814250715,0.0008784796766051737,0.000043537603895748946,0.000829046881436503,0.0009750957979976401,0.0008470614500683741,0.0009583444722901084,0.5549095754402088,0.546125553336738,0.027832209317959024,0.5122731427619515,0.6038936513180292,0.5250379946944552,0.5970360804969097,0.5405858138343272,0.5390906893663489,0.01645631492162074,0.5102686319013243,0.5722242514240801,0.523171853005903,0.5615115456861985,47.668533333333336,48.452,2.8527938653353906,40.914,51.154,43.9172,50.368399999999994,6.389066167733128,6.57862326022704,0.8169363747266121,4.931795210671265,7.769864606284985,5.21262659319901,7.170548665225899,74.6,76,8.902648081169044,53,88,63.6,83.4,41.733333333333334,42,6.776710818960002,26,55,34.4,48,1.2416707366707367,1.2,0.426661082914012,0.8333333333333334,2.5,0.8866666666666667,1.5999999999999996,2.066666666666667,2,0.7988086367179801,1,3,1,3,474.56969480549543,480.1549207695585,24.38317580447533,434.2030658837942,522.5991762211289,444.6042952474238,500.63873438653184,2.3152559487390074,2.315172311534353,0.004410211986925899,2.3076202336436737,2.320603287281609,2.3096889719045604,2.3203769580956886
0.00007000000000000001,0,500,52.6,54,2.6403462976338106,48,56,48.4,55,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.0037235936690397944,0.0009143111267767,0.01088428041072938,0.0008523884863781909,0.04306766949652639,0.0008656053207478423,0.0009748650731158737,0.5790618799050015,0.5696767047959559,0.04587256628779215,0.5131535339595209,0.686734729351376,0.5327569733755009,0.6317496117619933,0.5486153236450247,0.5487946392399322,0.01535755290077214,0.5173298718044052,0.5672310251181719,0.5277534926298323,0.5665764492376625,48.90933333333332,49.328,1.8359157569634474,44.512,51.002,47.0564,50.9728,6.63921300317587,6.751723928005365,0.6095220889532541,5.088600593483454,7.374284778878571,5.925161025484997,7.265169250033956,78.4,78,7.404631755095687,65,92,69.2,86.6,45.8,45,7.242730345466608,34,57,37,54,1.0621601984759879,1.0909090909090908,0.2718161732731959,0.7142857142857143,1.5,0.7872180451127819,1.412121212121212,2.6,3,0.6324555320336759,1,3,2,3,566.9292987555818,577.2447187705307,31.442139114632955,497.536808791015,615.8556036550375,520.122188467914,591.4446235341187,2.314284207392741,2.315811234817811,0.010213194908738354,2.282716910983675,2.321928094887362,2.3053001446458055,2.320982096826998
0.00008,0,500,50.8,50,2.0770858707058104,48,54,48.4,53.599999999999994,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.0009338108327666812,0.0009397418696647171,0.00004322573115718148,0.0008587016214174245,0.00103174835991956,0.0008899958685882968,0.000965765836983852,0.5608912128127772,0.5557436260982901,0.03600170937283052,0.5079643758707642,0.6226098189039139,0.5158572692698888,0.6093689067954153,0.546856825040463,0.5531094797301256,0.017546465416922594,0.5119714169163132,0.5721753363338061,0.5217230003066878,0.5636641476671117,47.18999999999999,47.928,2.1695396483388563,41.848,49.008,44.2224,48.984399999999994,6.692773369309319,6.780346598810412,0.7883815884437548,5.316013544000802,7.619159796197997,5.526041849222866,7.5826283151805605,76.6,76,9.530402479883596,57,92,66.8,90.19999999999999,45.8,46,8.478544349457298,29,61,37.400000000000006,58.4,1.0457669128257363,0.9333333333333333,0.267370376023983,0.5882352941176471,1.4,0.7333333333333334,1.3515151515151516,1.8,2,0.7745966692414835,1,3,1,3,643.1437920699417,643.7890176978051,30.052035075543262,575.6417347037417,688.2573154542014,608.2311219931603,670.4191340739294,2.3166762284234825,2.318487362970475,0.008196492823395428,2.2873498702051824,2.3207006847585694,2.3172381527642996,2.320360997062762
0.00009,0,500,51.13333333333333,51,2.0655911179772892,47,54,48.4,53.599999999999994,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.0009642322705914173,0.0009597524041558311,0.00002868044898513389,0.0009288319942873469,0.0010362939334353238,0.000936494325147047,0.0009900178712367728,0.5617845234219098,0.5581815725762113,0.022035458858811474,0.5271727985150143,0.6103123844315169,0.5406687141850168,0.5923796354664012,0.5380750755926982,0.5413632426211751,0.021750567066489326,0.49754730106880996,0.5797678930957703,0.5088313176202596,0.5607312145042405,47.524666666666675,46.97,2.200714516004377,44.546,51.772,45.3384,50.2956,6.360757829634351,6.267846520137532,0.6483082099466401,5.394430831885783,7.477181019608925,5.622729602646267,7.327915258672131,74.46666666666667,74,5.514483095406478,65,88,67.60000000000001,78,43.333333333333336,43,5.789974915645967,33,56,37.2,49,1.0685535325241207,0.9285714285714286,0.33245815571167725,0.6666666666666666,1.8333333333333333,0.723529411764706,1.5083333333333333,2.2,2,0.6761234037828132,1,3,1.4000000000000001,3,739.7355416361208,734.0155413865754,44.80725305303649,668.0599005366387,815.5093933251618,697.2589922562188,810.9631970455439,2.317208123121729,2.318487362970475,0.0038860223147186533,2.3074128889934054,2.3209194990354183,2.3121150474527603,2.3203769580956886
0.0001,0,500,52.4,52,2.557900925144901,48,58,49.400000000000006,55.2,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.005311771348673991,0.0010061522843194395,0.016717929927266728,0.0009292548392795785,0.06574337763148216,0.0009495048806028457,0.0010368565165479256,0.5714967751200156,0.5714031020018473,0.028724960323788486,0.5089722814152399,0.6142547447308112,0.5424129117404022,0.6063688767892732,0.5336817855798152,0.5348048267022177,0.017941368527504317,0.49802423226452325,0.5581827946886261,0.5064477066325239,0.5517459758537335,47.5328,47.582,2.1745146979104493,41.324,50.466,45.9484,49.5436,6.48165806367928,6.574275625496699,0.6347268919510456,4.956513290610652,7.704517895365032,5.844507792815418,7.0346325215667,77.06666666666666,78,6.974101751343697,57,86,72.19999999999999,83.6,44.666666666666664,45,6.831300510639732,29,55,36.2,52.2,1.1982034632034633,1.1,0.27033383449017284,0.8461538461538461,1.625,0.8742857142857143,1.5428571428571427,2.6,3,0.6324555320336759,1,3,2,3,823.0981574373911,825.8510231954014,43.41258838108234,698.4438733503579,894.3953729869049,803.171089759958,864.3528160454315,2.3182694793860836,2.318487362970475,0.0026466512438201263,2.3111501335021876,2.3208396243145395,2.315631069867676,2.3206738734856036
